event,node,start,end
form start,,1638943940925,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1638943940926,1638943941661
question,/ameM9v8nctyy8MRHMJfRX7/consent,1638943941670,1638943942752
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1638943942760,1638943944628
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1638943944637,1638943948672
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1638943948680,1638943953068
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1638943953106,1638943955524
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1638943955556,1638943987594
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1638943987603,1638944065664
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1638944065674,1638944068322
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1638944068331,1638944071063
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1638944071071,1638944072098
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1638944072106,1638944104169
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1638944104177,1638944120170
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1638944120178,1638944120897
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1638944120906,1638944124364
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1638944124373,1638944164915
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1638944164924,1638944166703
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1638944166712,1638944176965
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1638944176973,1638944186658
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1638944186665,1638944188453
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1638944188464,1638944201288
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1638944201296,1638944203561
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1638944203578,1638944210037
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1638944210045,1638944213924
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1638944213932,1638944215076
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1638944215084,1638944217466
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1638944217474,1638944218686
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1638944218694,1638944235097
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1638944235105,1638944236868
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1638944236876,1638944239116
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1638944239124,1638944241138
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1638944241147,1638944241998
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1638944242007,1638944244715
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1638944244723,1638944248767
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1638944248777,1638944250447
