event,node,start,end
form start,,1639391844847,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1639391844849,1639391845522
question,/ameM9v8nctyy8MRHMJfRX7/consent,1639391845531,1639391846640
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1639391846651,1639391847848
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1639391847861,1639391851642
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1639391851654,1639391856093
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1639391856132,1639391858811
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1639391858830,1639391864153
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1639391864166,1639391877385
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1639391877399,1639391880462
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1639391880476,1639391884512
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1639391884525,1639391885387
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1639391885401,1639391904102
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1639391904115,1639391904860
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1639391904874,1639391906760
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1639391906773,1639391923524
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1639391923537,1639391931840
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1639391931858,1639391933281
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1639391933293,1639391946221
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1639391946242,1639391951737
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1639391951750,1639391954823
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type_other,1639391954834,1639391972252
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1639391972265,1639391978720
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1639391978732,1639391982179
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1639391982192,1639391993670
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639391993683,1639392009157
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639392009172,1639392010440
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639392010454,1639392011749
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639392011761,1639392013000
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639392013014,1639392014562
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1639392014576,1639392016018
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1639392016032,1639392019326
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1639392019339,1639392021486
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1639392021497,1639392023509
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1639392023518,1639392024744
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1639392024759,1639392026495
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_seeing,1639392026511,1639392036419
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/HHH_diff_seeing,1639392036431,1639392038445
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_seeing,1639392038458,1639392040563
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_hearing,1639392040578,1639392045590
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/hhh_diff_hearing,1639392045603,1639392047322
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_walking,1639392047333,1639392067955
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/hhh_diff_walking,1639392067968,1639392070715
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_remembering,1639392070728,1639392075365
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/hhh_diff_remembering,1639392075378,1639392082918
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_self_care,1639392082931,1639392085541
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/hhh_diff_self_care,1639392085555,1639392086459
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_self_care,1639392086472,1639392087518
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_communicating,1639392087529,1639392089318
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/hhh_diff_communicating,1639392089330,1639392091651
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_communicating,1639392091665,1639392092910
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/heatlh_issue,1639392092922,1639392094136
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/current_status,1639392094149,1639392095003
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/heatlh_issue,1639392095016,1639392096604
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/current_status,1639392096620,1639392099154
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/move_intention,1639392099166,1639392100713
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/event_affected,1639392100726,1639392105565
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/event_affected_o,1639392105578,1639392108516
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/loss_family_member,1639392108531,1639392115771
question,/ameM9v8nctyy8MRHMJfRX7/assistance/assist_received,1639392115787,1639392117398
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/insuff_food,1639392117411,1639392120542
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/sold_asset,1639392120554,1639392121892
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/seek_employment,1639392121905,1639392124284
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/working,1639392124300,1639392126019
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/borrow,1639392126032,1639392129477
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/working,1639392129489,1639392130363
