event,node,start,end
form start,,1639294120608,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1639294120609,1639294121782
question,/ameM9v8nctyy8MRHMJfRX7/consent,1639294121794,1639294128903
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1639294128913,1639294148000
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1639294148014,1639294164158
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1639294164168,1639294169033
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1639294169054,1639294172196
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1639294172225,1639294182737
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1639294182745,1639294194274
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1639294194284,1639294203818
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1639294203832,1639294208679
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1639294208690,1639294210235
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1639294210248,1639294222217
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1639294222227,1639294235167
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1639294235176,1639294244038
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1639294244048,1639294246248
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1639294246260,1639294257758
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1639294257770,1639294273177
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1639294273189,1639294275379
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1639294275391,1639294299602
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1639294299612,1639294302474
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1639294302487,1639294306494
