event,node,start,end
form start,,1638770090319,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1638770090320,1638770091296
question,/ameM9v8nctyy8MRHMJfRX7/consent,1638770091305,1638770093799
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1638770093809,1638770098977
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1638770098987,1638770116456
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1638770116467,1638770121005
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1638770121047,1638770129134
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1638770129157,1638770155089
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1638770155100,1638770314250
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1638770314260,1638770325703
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1638770325716,1638770346203
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1638770346214,1638770347466
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1638770347479,1638770422580
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1638770422591,1638770434291
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1638770434303,1638770435316
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1638770435325,1638770483118
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1638770483130,1638770486361
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1638770486372,1638770487501
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1638770487510,1638770489019
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1638770489030,1638770490288
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1638770490297,1638770496896
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1638770496908,1638770498068
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1638770498077,1638770558536
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1638770558547,1638770561236
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1638770561243,1638770578531
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1638770578540,1638770579792
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1638770579803,1638770589426
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1638770589437,1638770625605
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1638770625614,1638770628990
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1638770629000,1638770643196
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1638770643206,1638770648060
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1638770648069,1638770652650
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1638770652661,1638770659593
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1638770659604,1638770661047
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1638770661056,1638770662947
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1638770662960,1638770664435
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1638770664446,1638770670770
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1638770670781,1638770672941
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1638770672952,1638770703725
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1638770703737,1638770707327
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1638770707335,1638770710822
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1638770710831,1638770713816
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1638770713826,1638770718472
