event, node, start, end
form start,,1638959439730,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1638959439731,1638959461154
question,/ameM9v8nctyy8MRHMJfRX7/consent,1638959461154,1638959464261
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/org[1]/organization,1638959464262,1638959466114
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/org[1]/assessment_code,1638959466114,1638959470823
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/org[1]/province,1638959470824,1638959483810
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/org[1]/district,1638959483810,1638959495264
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/org[1]/village,1638959495265,1638959562261
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/org[1]/gps,1638959562262,1638959709692
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/org[1]/date_assessment,1638959709694,1638959716848
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/org[1]/interviewer_name,1638959716849,1638959717936
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/org[1]/date_assessment,1638959717937,1638959720016
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/org[1]/interviewer_name,1638959720017,1638959728153
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_details[1]/hh_note,1638959728154,1638959728862
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_details[1]/name,1638959728862,1638959735931
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_details[1]/father_name,1638959735932,1638959743894
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_details[1]/respondent_age,1638959743894,1638959750589
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_details[1]/respondent_gender,1638959750590,1638959753340
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_details[1]/contact_num,1638959753340,1638959764810
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_details[1]/sec_contact_num,1638959764810,1638959769911
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_details[1]/id_type,1638959769912,1638959772773
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_details[1]/id_type_other,1638959772774,1638959782521
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_details[1]/nid_no,1638959782521,1638959807429
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_details[1]/respondent_hohh,1638959807429,1638959811990
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_details[1]/HHH_name,1638959811990,1638959827624
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_details[1]/HHH_father_name,1638959827624,1638959842281
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_details[1]/hhh_gender,1638959842282,1638959844244
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_details[1]/HHH_age,1638959844245,1638959859296
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_composition[1]/hh_mem,1638959859297,1638959870947
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_composition[1]/new_born_female,1638959870948,1638959882379
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_composition[1]/new_born_male,1638959882380,1638959892278
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_composition[1]/new_born_female,1638959892279,1638959893227
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_composition[1]/new_born_male,1638959893228,1638959896311
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_composition[1]/girls_5,1638959896312,1638959899542
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_composition[1]/boys_5,1638959899543,1638959901622
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_composition[1]/girls_6_17,1638959901623,1638959903419
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_composition[1]/boys_6_17,1638959903420,1638959905389
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_composition[1]/girls_6_17,1638959905389,1638959905766
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_composition[1]/boys_5,1638959905767,1638959906162
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_composition[1]/girls_5,1638959906163,1638959907103
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_composition[1]/new_born_male,1638959907104,1638959912298
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_composition[1]/new_born_female,1638959912298,1638959913060
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_composition[1]/hh_mem,1638959913061,1638959914122
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_composition[1]/new_born_female,1638959914123,1638959914933
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_composition[1]/new_born_male,1638959914934,1638959915743
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_composition[1]/girls_5,1638959915743,1638959916145
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_composition[1]/boys_5,1638959916145,1638959919184
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_composition[1]/girls_6_17,1638959919185,1638959922751
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_composition[1]/boys_5,1638959922752,1638959923390
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_composition[1]/girls_5,1638959923391,1638959923771
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_composition[1]/new_born_male,1638959923771,1638959924522
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_composition[1]/new_born_female,1638959924523,1638959925368
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_composition[1]/hh_mem,1638959925369,1638959926447
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_composition[1]/new_born_female,1638959926447,1638959926810
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_composition[1]/new_born_male,1638959926811,1638959927725
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_composition[1]/girls_5,1638959927726,1638959928454
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_composition[1]/boys_5,1638959928454,1638959929273
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_composition[1]/girls_6_17,1638959929273,1638959930899
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_composition[1]/boys_6_17,1638959930900,1638959934688
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_composition[1]/adult_18_59_female,1638959934689,1638959936978
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_composition[1]/adult_18_59_male,1638959936978,1638959938288
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_composition[1]/elders_60_abv_female,1638959938289,1638959939894
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_composition[1]/elders_60_abv_male,1638959939895,1638959941326
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_composition[1]/child_under2,1638959941327,1638959947021
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_composition[1]/p_l_w,1638959947021,1638959948505
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_vuln_factors[1]/diff_seeing,1638959948506,1638959952126
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_vuln_factors[1]/diff_hearing,1638959952127,1638959955216
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_vuln_factors[1]/diff_seeing,1638959955217,1638959963893
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_vuln_factors[1]/HHH_diff_seeing,1638959963894,1638959965720
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_vuln_factors[1]/diff_hearing,1638959965721,1638959970800
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_vuln_factors[1]/diff_walking,1638959970801,1638959974497
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_vuln_factors[1]/diff_remembering,1638959974498,1638959982746
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_vuln_factors[1]/diff_self_care,1638959982747,1638959986677
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_vuln_factors[1]/diff_communicating,1638959986678,1638959990697
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_vuln_factors[1]/heatlh_issue,1638959990698,1638960004090
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement[1]/current_status,1638960004091,1638960028135
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_vuln_factors[1]/heatlh_issue,1638960028136,1638960028890
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement[1]/current_status,1638960028891,1638960038239
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement[1]/move_intention,1638960038240,1638960042194
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact[1]/event_affected,1638960042195,1638960048817
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact[1]/event_affected_o,1638960048818,1638960066560
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact[1]/loss_family_member,1638960066560,1638960079300
question,/ameM9v8nctyy8MRHMJfRX7/assistance[1]/assist_received,1638960079301,1638960080647
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact[1]/loss_family_member,1638960080648,1638960081316
question,/ameM9v8nctyy8MRHMJfRX7/assistance[1]/assist_received,1638960081317,1638960082282
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies[1]/insuff_food,1638960082283,1638960089453
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies[1]/sold_asset,1638960089453,1638960091784
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies[1]/seek_employment,1638960091785,1638960094414
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies[1]/working,1638960094415,1638960096599
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies[1]/borrow,1638960096600,1638960098634
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies[1]/medical_attention,1638960098635,1638960102304
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies[1]/early_marry,1638960102305,1638960104927
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs[1]/hh_eat_note,1638960104927,1638960105835
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs[1]/cereal,1638960105835,1638960108916
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs[1]/pulse,1638960108917,1638960113638
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs[1]/vegetable,1638960113639,1638960126956
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs[1]/fruit,1638960126957,1638960130758
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs[1]/meat,1638960130759,1638960133633
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs[1]/dairy,1638960133634,1638960135391
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs[1]/sugar,1638960135391,1638960142410
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs[1]/oil,1638960142411,1638960145014
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs[1]/sugar,1638960145015,1638960145373
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs[1]/dairy,1638960145374,1638960145981
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs[1]/meat,1638960145982,1638960146957
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs[1]/fruit,1638960146958,1638960147310
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs[1]/vegetable,1638960147311,1638960148995
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs[1]/pulse,1638960148995,1638960149869
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs[1]/vegetable,1638960149870,1638960150277
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs[1]/fruit,1638960150277,1638960150699
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs[1]/meat,1638960150700,1638960151121
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs[1]/dairy,1638960151122,1638960151557
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs[1]/sugar,1638960151557,1638960152011
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs[1]/oil,1638960152012,1638960152672
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs[1]/condiment,1638960152673,1638960153260
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs[1]/oil,1638960153260,1638960155718
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs[1]/condiment,1638960155718,1638960157467
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs[1]/hh_had_to_note,1638960157468,1638960158355
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs[1]/less_food,1638960158356,1638960162151
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs[1]/borrow_food,1638960162152,1638960172811
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs[1]/limit_mealtime,1638960172812,1638960182784
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs[1]/restrict_consumption,1638960182785,1638960203153
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs[1]/reduce_meal,1638960203155,1638960215384
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs[1]/childs_health,1638960215385,1638960221680
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs[1]/shelter_type,1638960221681,1638960224007
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs[1]/shelter_resident,1638960224008,1638960225903
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs[1]/tenure_status,1638960225904,1638960236902
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs[1]/shelter_concern,1638960236903,1638960243448
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs[1]/nfi_need,1638960243448,1638960251175
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs[1]/water_access,1638960251176,1638960255668
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs[1]/water_source,1638960255669,1638960257280
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs[1]/water_far_distance,1638960257281,1638960259020
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs[1]/latrine_access,1638960259021,1638960274511
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs[1]/handwashing_facilities,1638960274511,1638960282137
question,/ameM9v8nctyy8MRHMJfRX7/health[1]/health_fac_2hours,1638960282138,1638960283912
question,/ameM9v8nctyy8MRHMJfRX7/health[1]/health_barriers,1638960283913,1638960287643
question,/ameM9v8nctyy8MRHMJfRX7/economic_profile[1]/debt_amount,1638960287644,1638960296532
question,/ameM9v8nctyy8MRHMJfRX7/economic_profile[1]/debt_expenditure,1638960296533,1638960310593
question,/ameM9v8nctyy8MRHMJfRX7/economic_profile[1]/adult_working,1638960310594,1638960313166
question,/ameM9v8nctyy8MRHMJfRX7/protection[1]/protection_question,1638960313167,1638960315070
question,/ameM9v8nctyy8MRHMJfRX7/protection[1]/environmental_dangers,1638960315070,1638960330260
question,/ameM9v8nctyy8MRHMJfRX7/assistance_mod[1]/assist_preference,1638960330261,1638960331809
question,/ameM9v8nctyy8MRHMJfRX7/protection[1]/environmental_dangers,1638960331809,1638960333466
question,/ameM9v8nctyy8MRHMJfRX7/assistance_mod[1]/assist_preference,1638960333467,1638960335330
question,/ameM9v8nctyy8MRHMJfRX7/assistance_mod[1]/cash_safe_market,1638960335331,1638960338058
