event,node,start,end
form start,,1639376144197,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1639376144198,1639376145140
question,/ameM9v8nctyy8MRHMJfRX7/consent,1639376145150,1639376146659
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1639376146666,1639376147936
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1639376147944,1639376151795
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1639376151801,1639376156646
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1639376156706,1639376159076
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1639376159086,1639376171853
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1639376171859,1639376201984
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1639376201992,1639376205161
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1639376205168,1639376224783
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1639376224790,1639376225798
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1639376225806,1639376241826
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1639376241833,1639376282339
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1639376282345,1639376287297
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1639376287303,1639376288856
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1639376288863,1639376299024
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1639376299031,1639376304158
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1639376304165,1639376306182
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1639376306188,1639376316179
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1639376316189,1639376318276
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1639376318283,1639376320328
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639376320335,1639376321864
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639376321871,1639376323226
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639376323232,1639376325232
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639376325238,1639376329312
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639376329318,1639376347208
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1639376347215,1639376348954
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1639376348960,1639376352926
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1639376352933,1639376354839
