event,node,start,end
form start,,1639033887938,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1639033887939,1639033904899
question,/ameM9v8nctyy8MRHMJfRX7/consent,1639033904906,1639033906590
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1639033906597,1639033908049
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1639033908058,1639033914032
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1639033914040,1639033917942
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1639033918005,1639033923683
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1639033923715,1639033939392
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1639033939400,1639034047233
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1639034047242,1639034058757
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1639034058765,1639034063978
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1639034063987,1639034064764
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1639034064772,1639034077273
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1639034077280,1639034084233
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1639034084241,1639034111172
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1639034111180,1639034112768
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1639034112778,1639034125536
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1639034125545,1639034198813
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1639034198822,1639034200400
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1639034200410,1639034208689
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1639034208697,1639034210638
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1639034210647,1639034223914
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1639034223922,1639034232712
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1639034232720,1639034250962
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1639034250971,1639034252808
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1639034252817,1639034264022
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639034264030,1639034275830
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639034275838,1639034277083
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639034277091,1639034302685
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639034302701,1639034307924
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639034307934,1639034310665
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639034310673,1639034318695
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639034318703,1639034320617
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1639034320625,1639034322196
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1639034322204,1639034323759
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1639034323767,1639034324979
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1639034324987,1639034326232
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1639034326241,1639034327326
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1639034327335,1639034333326
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1639034333335,1639034334512
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/total_mem_confirm,1639034334521,1639034335932
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1639034335941,1639034336844
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1639034336852,1639034337529
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1639034337543,1639034338164
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1639034338170,1639034338974
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1639034338982,1639034340763
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1639034340770,1639034342225
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1639034342232,1639034343830
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639034343838,1639034346537
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1639034346545,1639034364101
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1639034364109,1639034364694
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1639034364702,1639034365287
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1639034365294,1639034365839
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1639034365846,1639034366273
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1639034366280,1639034366725
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1639034366732,1639034367184
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_seeing,1639034367199,1639034372757
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_hearing,1639034372766,1639034375289
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_walking,1639034375302,1639034377019
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_remembering,1639034377026,1639034381372
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_walking,1639034381379,1639034382534
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/hhh_diff_walking,1639034382542,1639034384422
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_remembering,1639034384431,1639034393455
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/hhh_diff_remembering,1639034393467,1639034395602
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_self_care,1639034395610,1639034399989
