event,node,start,end
form start,,1638873996078,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1638873996079,1638873999768
question,/ameM9v8nctyy8MRHMJfRX7/consent,1638873999776,1638874003869
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1638874003878,1638874006105
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1638874006113,1638874011653
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1638874011660,1638874020549
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1638874020580,1638874023398
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1638874023410,1638874027990
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1638874027998,1638874029129
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1638874029137,1638874031791
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1638874031800,1638874035812
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1638874035822,1638874040013
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1638874040021,1638874058426
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1638874058434,1638874064959
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1638874064967,1638874076061
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1638874076069,1638874079580
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1638874079588,1638874100004
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1638874100013,1638874105279
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1638874105288,1638874141068
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1638874141078,1638874268402
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1638874268410,1638874270514
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1638874270521,1638874271369
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1638874271377,1638874271922
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1638874271929,1638874295837
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1638874295844,1638874299058
