event,node,start,end
form start,,1639432869297,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1639432869299,1639432870459
question,/ameM9v8nctyy8MRHMJfRX7/consent,1639432870475,1639432872266
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1639432872274,1639432875189
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1639432875196,1639432884744
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1639432884754,1639432888923
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1639432888984,1639432893756
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1639432893767,1639432915318
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1639432915326,1639432960882
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1639432960893,1639432964346
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1639432964355,1639432967807
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1639432967817,1639432969394
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1639432969402,1639433024631
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1639433024639,1639433030146
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1639433030155,1639433034779
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1639433034787,1639433037454
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1639433037460,1639433056200
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1639433056207,1639433063764
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1639433063770,1639433066141
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1639433066149,1639433082638
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1639433082646,1639433088342
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1639433088350,1639433129310
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1639433129319,1639433134602
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1639433134610,1639433142620
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639433142629,1639433153777
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639433153786,1639433160172
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639433160178,1639433164703
