event,node,start,end
form start,,1639388220959,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1639388220961,1639388222608
question,/ameM9v8nctyy8MRHMJfRX7/consent,1639388222623,1639388223865
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1639388223878,1639388225316
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1639388225331,1639388252091
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1639388252104,1639388255142
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1639388255176,1639388257751
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1639388257784,1639388266654
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1639388266666,1639388268279
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1639388268291,1639388270464
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1639388270477,1639388276465
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1639388276479,1639388277148
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1639388277162,1639388287093
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1639388287105,1639388296430
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1639388296443,1639388428513
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1639388428527,1639388430164
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1639388430180,1639388441012
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1639388441027,1639388445611
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1639388445624,1639388447344
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1639388447358,1639388461813
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1639388461827,1639388463264
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1639388463278,1639388471982
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639388471992,1639388507914
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639388507928,1639388509506
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639388509519,1639388511682
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639388511695,1639388513591
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639388513605,1639388516258
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1639388516273,1639388518285
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639388518298,1639388520644
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1639388520658,1639388522769
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1639388522784,1639388530162
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1639388530175,1639388531438
