event,node,start,end
form start,,1638441571006,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1638441571007,1638441571759
question,/ameM9v8nctyy8MRHMJfRX7/consent,1638441571768,1638441572984
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1638441572994,1638441575004
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1638441575015,1638441575922
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1638441575930,1638441580269
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1638441580283,1638441584966
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1638441584980,1638441587886
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1638441587941,1638441597096
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1638441597124,1638441661708
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1638441661721,1638441772738
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1638441772751,1638441775185
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1638441775198,1638441782490
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1638441782502,1638441783441
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1638441783453,1638441805540
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1638441805553,1638441854569
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1638441854582,1638441858965
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1638441858979,1638441860884
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1638441860899,1638441862244
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1638441862257,1638441862611
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1638441862624,1638441863437
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1638441863450,1638441863854
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1638441863868,1638441873423
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1638441873434,1638441874424
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1638441874437,1638441881732
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1638441881746,1638441882808
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1638441882822,1638441895623
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1638441895637,1638441900161
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1638441900174,1638441901538
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1638441901552,1638441912557
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1638441912569,1638441916295
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1638441916309,1638441920325
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1638441920340,1638441939421
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1638441939435,1638441940948
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1638441940962,1638441944810
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1638441944824,1638441948347
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1638441948361,1638441952761
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1638441952776,1638441954103
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1638441954118,1638441960970
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1638441960984,1638441962396
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1638441962409,1638441964340
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1638441964351,1638441965758
