event,node,start,end
form start,,1639028928522,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1639028928524,1639028929566
question,/ameM9v8nctyy8MRHMJfRX7/consent,1639028929581,1639028931064
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1639028931072,1639028932745
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1639028932756,1639028940435
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1639028940445,1639028952444
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1639028952468,1639028962790
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1639028962825,1639029002418
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1639029002424,1639029003698
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1639029003706,1639029007388
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1639029007396,1639029123806
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1639029123815,1639029157112
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1639029157120,1639029181751
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1639029181761,1639029182900
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1639029182909,1639029221323
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1639029221332,1639029243102
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1639029243111,1639029268626
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1639029268635,1639029271018
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1639029271028,1639029299996
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1639029300004,1639029325333
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1639029325340,1639029327542
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1639029327548,1639029357056
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1639029357065,1639029358888
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1639029358897,1639029375754
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1639029375763,1639029376998
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1639029377007,1639029423751
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1639029423758,1639029425132
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1639029425140,1639029426063
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1639029426070,1639029430689
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1639029430698,1639029455739
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639029455746,1639029474056
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639029474063,1639029484937
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639029484944,1639029494228
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639029494235,1639029504421
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639029504429,1639029510238
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639029510246,1639029518634
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639029518642,1639029524730
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1639029524737,1639029529481
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1639029529487,1639029538573
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1639029538582,1639029542934
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1639029542942,1639029546698
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1639029546705,1639029549272
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1639029549281,1639029550911
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1639029550921,1639029553658
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1639029553668,1639029563067
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1639029563077,1639029574032
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/total_mem_confirm,1639029574042,1639029578131
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1639029578141,1639029579062
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1639029579071,1639029580244
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1639029580254,1639029581718
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1639029581727,1639029582769
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1639029582779,1639029583481
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1639029583489,1639029584219
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1639029584225,1639029585005
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639029585012,1639029585908
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639029585915,1639029587448
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639029587457,1639029588665
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639029588673,1639029590420
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639029590428,1639029591245
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639029591254,1639029593399
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639029593408,1639029594962
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639029594972,1639029595719
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639029595725,1639029596595
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639029596605,1639029599930
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639029599940,1639029609595
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1639029609605,1639029610618
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1639029610627,1639029611532
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1639029611542,1639029612278
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1639029612285,1639029613098
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1639029613107,1639029614505
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1639029614515,1639029615507
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1639029615517,1639029616683
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_seeing,1639029616693,1639029645385
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_hearing,1639029645394,1639029665884
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_walking,1639029665891,1639029697405
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/hhh_diff_walking,1639029697412,1639029701650
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_remembering,1639029701661,1639029709508
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_self_care,1639029709520,1639029712837
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_communicating,1639029712846,1639029720089
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/heatlh_issue,1639029720098,1639029734356
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/current_status,1639029734366,1639029757703
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/move_intention,1639029757713,1639029780383
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/event_affected,1639029780392,1639029782596
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/move_intention,1639029782604,1639029783558
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/current_status,1639029783566,1639029785302
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/heatlh_issue,1639029785311,1639029787206
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_communicating,1639029787215,1639029789234
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/heatlh_issue,1639029789243,1639029792694
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_communicating,1639029792705,1639029794226
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_self_care,1639029794236,1639029796076
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_remembering,1639029796086,1639029796889
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_self_care,1639029796899,1639029797461
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_communicating,1639029797471,1639029798149
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/heatlh_issue,1639029798158,1639029798902
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/current_status,1639029798911,1639029808649
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displaced_province,1639029808659,1639029815827
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/current_status,1639029815837,1639029822370
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displaced_province,1639029822382,1639029832796
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displaced_district,1639029832821,1639029843071
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displacement_duration,1639029843102,1639029869212
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displaced_district,1639029869225,1639029871224
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displacement_duration,1639029871245,1639029875447
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displaced_district,1639029875470,1639029876500
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displaced_province,1639029876521,1639029877246
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/current_status,1639029877256,1639029883437
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displaced_province,1639029883447,1639029884234
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displaced_district,1639029884266,1639029885345
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displacement_duration,1639029885367,1639029886867
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/move_intention,1639029886878,1639029900572
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/event_affected,1639029900580,1639029927764
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/loss_family_member,1639029927773,1639029931000
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/event_affected,1639029931009,1639029941774
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/loss_family_member,1639029941784,1639029947901
question,/ameM9v8nctyy8MRHMJfRX7/assistance/assist_received,1639029947911,1639029972242
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/insuff_food,1639029972249,1639029983215
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/sold_asset,1639029983222,1639030004898
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/seek_employment,1639030004904,1639030020541
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/working,1639030020548,1639030047151
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/borrow,1639030047157,1639030051390
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/working,1639030051396,1639030064491
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/borrow,1639030064496,1639030068162
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/medical_attention,1639030068172,1639030080586
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/early_marry,1639030080595,1639030096648
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/hh_eat_note,1639030096658,1639030097923
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/cereal,1639030097932,1639030128900
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/pulse,1639030128906,1639030136775
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/vegetable,1639030136782,1639030156174
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/fruit,1639030156180,1639030159079
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/vegetable,1639030159085,1639030168256
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/fruit,1639030168264,1639030171499
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/meat,1639030171509,1639030173414
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/dairy,1639030173421,1639030175319
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/sugar,1639030175326,1639030179841
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/oil,1639030179851,1639030182729
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/sugar,1639030182738,1639030185569
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/oil,1639030185578,1639030205209
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/condiment,1639030205219,1639030210649
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/oil,1639030210655,1639030223039
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/condiment,1639030223046,1639030229406
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/hh_had_to_note,1639030229413,1639030231203
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/less_food,1639030231209,1639030243700
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/borrow_food,1639030243706,1639030262381
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/limit_mealtime,1639030262388,1639030288177
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/restrict_consumption,1639030288183,1639030313380
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/reduce_meal,1639030313387,1639030336935
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/childs_health,1639030336942,1639030411503
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/shelter_type,1639030411509,1639030430275
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/shelter_resident,1639030430282,1639030434725
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/tenure_status,1639030434732,1639030445983
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/shelter_concern,1639030445990,1639030480026
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/nfi_need,1639030480034,1639030533810
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/water_access,1639030533821,1639030534639
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/nfi_need,1639030534645,1639030549329
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/water_access,1639030549338,1639030552983
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/water_source,1639030552993,1639030557498
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/water_far_distance,1639030557507,1639030566230
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/latrine_access,1639030566240,1639030568278
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/latrine_disability_friendly,1639030568287,1639030604971
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/handwashing_facilities,1639030604979,1639030610960
question,/ameM9v8nctyy8MRHMJfRX7/health/health_fac_2hours,1639030610967,1639030612215
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/handwashing_facilities,1639030612224,1639030613574
question,/ameM9v8nctyy8MRHMJfRX7/health/health_fac_2hours,1639030613582,1639030620723
question,/ameM9v8nctyy8MRHMJfRX7/health/health_barriers,1639030620733,1639030648654
question,/ameM9v8nctyy8MRHMJfRX7/economic_profile/debt_amount,1639030648660,1639030662579
question,/ameM9v8nctyy8MRHMJfRX7/economic_profile/debt_expenditure,1639030662586,1639030681875
question,/ameM9v8nctyy8MRHMJfRX7/economic_profile/adult_working,1639030681883,1639030687961
question,/ameM9v8nctyy8MRHMJfRX7/protection/protection_question,1639030687968,1639030721966
question,/ameM9v8nctyy8MRHMJfRX7/protection/environmental_dangers,1639030721973,1639030724830
question,/ameM9v8nctyy8MRHMJfRX7/protection/protection_question,1639030724836,1639030726328
question,/ameM9v8nctyy8MRHMJfRX7/protection/environmental_dangers,1639030726336,1639030726981
question,/ameM9v8nctyy8MRHMJfRX7/protection/protection_question,1639030726988,1639030751511
question,/ameM9v8nctyy8MRHMJfRX7/protection/environmental_dangers,1639030751521,1639030762411
question,/ameM9v8nctyy8MRHMJfRX7/assistance_mod/assist_preference,1639030762420,1639030788098
question,/ameM9v8nctyy8MRHMJfRX7/assistance_mod/cash_safe_market,1639030788107,1639030806884
question,/ameM9v8nctyy8MRHMJfRX7/assistance_mod/feedback_preference,1639030806891,1639030848063
question,/ameM9v8nctyy8MRHMJfRX7/comment_box,1639030848070,1639030868424
end screen,,1639030868429,1639030889898
form save,,1639030890196,
form exit,,1639030890196,
form finalize,,1639030890196,

