event,node,start,end
form start,,1639392972543,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1639392972544,1639392975774
question,/ameM9v8nctyy8MRHMJfRX7/consent,1639392975794,1639392978274
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1639392978286,1639392981084
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1639392981097,1639393110338
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1639393110357,1639393128041
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1639393128100,1639393164769
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1639393164787,1639393186776
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1639393186793,1639393215561
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1639393215574,1639393219112
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1639393219124,1639393223519
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1639393223531,1639393226120
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1639393226131,1639393252611
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1639393252622,1639393264723
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1639393264736,1639393276045
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1639393276057,1639393278243
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1639393278252,1639393287856
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1639393287867,1639393292133
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1639393292146,1639393294274
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1639393294284,1639393301909
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1639393301920,1639393304070
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1639393304081,1639393308862
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639393308872,1639393330970
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639393330984,1639393350465
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639393350480,1639393353758
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639393353772,1639393355602
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639393355612,1639393357726
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639393357738,1639393359518
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639393359532,1639393382626
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1639393382639,1639393386601
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1639393386615,1639393389762
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1639393389773,1639393392296
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1639393392307,1639393394413
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1639393394426,1639393396067
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1639393396084,1639393399638
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1639393399652,1639393401906
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_seeing,1639393401920,1639393421445
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_hearing,1639393421456,1639393425229
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_walking,1639393425244,1639393427013
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_hearing,1639393427025,1639393427479
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_seeing,1639393427490,1639393430640
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/HHH_diff_seeing,1639393430654,1639393433324
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_hearing,1639393433336,1639393435376
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_walking,1639393435388,1639393438716
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/hhh_diff_walking,1639393438729,1639393441758
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_remembering,1639393441771,1639393444935
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_self_care,1639393444946,1639393448085
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/hhh_diff_self_care,1639393448100,1639393449979
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_communicating,1639393449992,1639393452147
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/heatlh_issue,1639393452159,1639393454487
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/current_status,1639393454502,1639393456548
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displaced_province,1639393456561,1639393462399
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displaced_district,1639393462430,1639393466733
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displacement_duration,1639393466754,1639393470042
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/move_intention,1639393470057,1639393471834
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/event_affected,1639393471845,1639393473518
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/loss_family_member,1639393473530,1639393479779
question,/ameM9v8nctyy8MRHMJfRX7/assistance/assist_received,1639393479792,1639393482620
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/insuff_food,1639393482633,1639393483863
question,/ameM9v8nctyy8MRHMJfRX7/assistance/assist_received,1639393483876,1639393485141
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/insuff_food,1639393485156,1639393488307
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/sold_asset,1639393488319,1639393502287
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/seek_employment,1639393502303,1639393516140
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/working,1639393516154,1639393517838
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/seek_employment,1639393517852,1639393519144
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/working,1639393519156,1639393520714
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/seek_employment,1639393520730,1639393522383
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/working,1639393522398,1639393524577
