event,node,start,end
form start,,1639472384205,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1639472384207,1639472396981
question,/ameM9v8nctyy8MRHMJfRX7/consent,1639472397000,1639472401655
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1639472401667,1639472403212
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1639472403223,1639472408425
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1639472408435,1639472410878
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1639472410971,1639472413438
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1639472413472,1639472430946
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1639472430956,1639472444408
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1639472444419,1639472448241
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1639472448253,1639472458738
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1639472458744,1639472459913
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1639472459920,1639472501117
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1639472501125,1639472511169
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1639472511178,1639472521210
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1639472521218,1639472523704
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1639472523714,1639472582894
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1639472582905,1639472587497
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1639472587505,1639472589250
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1639472589257,1639472603432
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1639472603439,1639472609565
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/HHH_name,1639472609574,1639472636228
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/HHH_father_name,1639472636236,1639472645438
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hhh_gender,1639472645451,1639472647404
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/HHH_age,1639472647412,1639472654452
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1639472654460,1639472657079
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639472657087,1639472658696
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1639472658704,1639472684619
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639472684633,1639472721396
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1639472721405,1639472724191
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639472724201,1639472749592
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639472749600,1639472755097
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639472755106,1639472756974
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639472756983,1639472759543
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639472759550,1639472827324
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639472827339,1639472828257
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639472828273,1639472829316
