event,node,start,end
form start,,1638954575179,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1638954575180,1638954576853
question,/ameM9v8nctyy8MRHMJfRX7/consent,1638954576863,1638954577972
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1638954577980,1638954579488
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1638954579491,1638954588182
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1638954588198,1638954591368
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1638954591457,1638954599572
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1638954599582,1638954614173
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1638954614194,1638954704418
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1638954704429,1638954707110
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1638954707119,1638954715298
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1638954715303,1638954716250
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1638954716258,1638954728098
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1638954728108,1638954744260
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1638954744265,1638954753403
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1638954753410,1638954754726
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1638954754732,1638954786388
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1638954786409,1638954791194
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1638954791199,1638954792945
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1638954792951,1638954816277
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1638954816281,1638954822636
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1638954822643,1638954830302
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1638954830311,1638954922143
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1638954922153,1638954924331
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1638954924344,1638954930061
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1638954930072,1638954932494
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1638954932497,1638954935839
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1638954935853,1638954938768
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1638954938791,1638954940804
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1638954940829,1638954942735
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1638954942750,1638954944435
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1638954944445,1638954945703
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1638954945718,1638954946425
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1638954946432,1638954948122
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1638954948130,1638954949502
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1638954949508,1638954950764
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1638954950787,1638954956137
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1638954956145,1638954964825
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_seeing,1638954964832,1638954969803
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_hearing,1638954969809,1638954981931
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_walking,1638954981941,1638954988261
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/hhh_diff_walking,1638954988268,1638954990806
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_remembering,1638954990818,1638954994755
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_self_care,1638954994769,1638954995759
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_communicating,1638954995767,1638954997093
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_self_care,1638954997106,1638954999651
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/hhh_diff_self_care,1638954999656,1638955002526
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_communicating,1638955002538,1638955004291
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/heatlh_issue,1638955004299,1638955007404
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/current_status,1638955007410,1638955010603
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displaced_province,1638955010610,1638955018234
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/current_status,1638955018245,1638955020019
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/heatlh_issue,1638955020025,1638955021320
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/current_status,1638955021332,1638955023964
