event,node,start,end
form start,,1639045501611,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1639045501613,1639045511099
question,/ameM9v8nctyy8MRHMJfRX7/consent,1639045511119,1639045513079
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1639045513087,1639045523059
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1639045523075,1639045540084
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1639045540095,1639045561372
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1639045561534,1639045565351
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1639045565392,1639045574304
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1639045574321,1639045640350
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1639045640379,1639045648363
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1639045648372,1639045652914
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1639045652930,1639045654293
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1639045654299,1639045671154
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1639045671164,1639045672509
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1639045672535,1639045681244
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1639045681256,1639045692488
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1639045692500,1639045701282
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1639045701292,1639045704721
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1639045704735,1639045716155
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1639045716171,1639045720260
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1639045720273,1639045722543
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1639045722570,1639045737045
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1639045737058,1639045738054
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1639045738075,1639045745721
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1639045745730,1639045747706
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1639045747724,1639045750021
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639045750028,1639045752609
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639045752620,1639045757268
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639045757281,1639045759058
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639045759072,1639045760531
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639045760547,1639045762031
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1639045762042,1639045763395
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1639045763406,1639045765684
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1639045765691,1639045767214
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1639045767221,1639045768592
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1639045768607,1639045770117
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/total_mem_confirm,1639045770124,1639045780212
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1639045780225,1639045781757
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1639045781770,1639045782728
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1639045782749,1639045784466
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/total_mem_confirm,1639045784484,1639045786004
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1639045786020,1639045787028
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1639045787050,1639045790057
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1639045790071,1639045791399
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_seeing,1639045791409,1639045797329
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_hearing,1639045797344,1639045799614
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_walking,1639045799625,1639045802009
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/hhh_diff_walking,1639045802018,1639045803791
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_remembering,1639045803800,1639045807980
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/hhh_diff_remembering,1639045807993,1639045810872
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_self_care,1639045810887,1639045813965
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_communicating,1639045813981,1639045816272
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/heatlh_issue,1639045816289,1639045818991
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/current_status,1639045818999,1639045819840
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/heatlh_issue,1639045819851,1639045825972
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/current_status,1639045825991,1639045828279
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/move_intention,1639045828291,1639045830604
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/event_affected,1639045830614,1639045833083
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/event_affected_o,1639045833098,1639045841177
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/loss_family_member,1639045841194,1639045848944
question,/ameM9v8nctyy8MRHMJfRX7/assistance/assist_received,1639045848959,1639045851010
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/insuff_food,1639045851022,1639045853682
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/sold_asset,1639045853691,1639045856569
