event,node,start,end
form start,,1639289997533,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1639289997534,1639289998400
question,/ameM9v8nctyy8MRHMJfRX7/consent,1639289998414,1639290000017
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1639290000033,1639290001442
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1639290001455,1639290009747
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1639290009764,1639290016664
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1639290016690,1639290019257
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1639290019280,1639290022957
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1639290022970,1639290041140
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1639290041156,1639290043517
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1639290043530,1639290047041
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1639290047054,1639290047842
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1639290047856,1639290063295
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1639290063310,1639290687796
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1639290687809,1639290688755
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1639290688767,1639290711668
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1639290711682,1639290858476
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1639290858490,1639290860368
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1639290860382,1639290935741
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1639290935755,1639290940200
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1639290940215,1639290944501
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type_other,1639290944514,1639290952912
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1639290952925,1639290970894
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type_other,1639290970907,1639290987690
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1639290987708,1639290989115
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1639290989128,1639290989898
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1639290989912,1639290991875
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1639290991889,1639290995901
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1639290995918,1639290997710
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1639290997724,1639291010328
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1639291010341,1639291014771
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639291014785,1639291031285
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639291031299,1639291034444
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639291034456,1639291036060
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639291036073,1639291042661
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639291042674,1639291043887
