event,node,start,end
form start,,1638429315142,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1638429315143,1638429316321
question,/ameM9v8nctyy8MRHMJfRX7/consent,1638429316326,1638429322535
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1638429322541,1638429325176
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1638429325181,1638429334562
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1638429334569,1638429339863
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1638429339977,1638429354584
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1638429354592,1638429373200
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1638429373206,1638429374279
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1638429374286,1638429377270
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1638429377276,1638429382677
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1638429382683,1638429383780
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1638429383786,1638429395240
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1638429395246,1638429404162
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1638429404167,1638429410956
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1638429410961,1638429412674
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1638429412683,1638429427878
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1638429427883,1638429469506
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1638429469511,1638429471660
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1638429471666,1638429486891
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1638429486896,1638429489077
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1638429489083,1638429493817
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1638429493823,1638429500504
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1638429500510,1638429503179
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1638429503185,1638429505270
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1638429505275,1638429506860
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1638429506865,1638429508461
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1638429508466,1638429510530
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1638429510535,1638429512686
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1638429512691,1638429514551
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1638429514556,1638429516267
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1638429516273,1638429517907
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1638429517912,1638429521372
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1638429521377,1638429527755
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_seeing,1638429527761,1638429530057
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_hearing,1638429530065,1638429532813
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_walking,1638429532821,1638429535452
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_remembering,1638429535461,1638429538196
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_self_care,1638429538204,1638429544338
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_communicating,1638429544345,1638429551568
