event, node, start, end
form start,,1639030570747,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1639030570749,1639030571760
question,/ameM9v8nctyy8MRHMJfRX7/consent,1639030571762,1639030615254
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/org[1]/organization,1639030615256,1639030628462
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/org[1]/assessment_code,1639030628463,1639030632123
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/org[1]/province,1639030632124,1639030635375
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/org[1]/district,1639030635376,1639030637679
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/org[1]/village,1639030637679,1639030650801
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/org[1]/gps,1639030650803,1639030735803
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/org[1]/date_assessment,1639030735804,1639030738098
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/org[1]/interviewer_name,1639030738099,1639030741363
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_details[1]/hh_note,1639030741364,1639030742202
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_details[1]/name,1639030742203,1639030756333
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_details[1]/father_name,1639030756334,1639030772583
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_details[1]/respondent_age,1639030772583,1639030773344
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_details[1]/father_name,1639030773345,1639030774272
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_details[1]/respondent_age,1639030774272,1639030782466
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_details[1]/respondent_gender,1639030782467,1639030783760
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_details[1]/contact_num,1639030783761,1639030790325
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_details[1]/sec_contact_num,1639030790326,1639030796076
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_details[1]/id_type,1639030796077,1639030797750
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_details[1]/nid_no,1639030797751,1639030807614
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_details[1]/respondent_hohh,1639030807615,1639030809576
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_composition[1]/hh_mem,1639030809577,1639030811371
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_composition[1]/new_born_female,1639030811371,1639030815373
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_composition[1]/new_born_male,1639030815374,1639030816594
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_composition[1]/girls_5,1639030816594,1639030817973
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_composition[1]/boys_5,1639030817974,1639030819209
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_composition[1]/girls_6_17,1639030819210,1639030822147
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_composition[1]/boys_6_17,1639030822148,1639030823487
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_composition[1]/adult_18_59_female,1639030823487,1639030824693
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_composition[1]/adult_18_59_male,1639030824694,1639030825892
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_composition[1]/elders_60_abv_female,1639030825893,1639030827358
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_composition[1]/elders_60_abv_male,1639030827359,1639030828575
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_composition[1]/elders_60_abv_female,1639030828576,1639030830843
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_composition[1]/elders_60_abv_male,1639030830844,1639030832686
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_composition[1]/p_l_w,1639030832687,1639030840105
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_composition[1]/elders_60_abv_male,1639030840106,1639030842356
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_composition[1]/p_l_w,1639030842357,1639030843425
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_composition[1]/elders_60_abv_male,1639030843426,1639030843789
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_composition[1]/elders_60_abv_female,1639030843790,1639030846019
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_composition[1]/adult_18_59_male,1639030846019,1639030848176
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_composition[1]/adult_18_59_female,1639030848177,1639030849823
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_composition[1]/adult_18_59_male,1639030849823,1639030850285
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_composition[1]/elders_60_abv_female,1639030850286,1639030850641
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_composition[1]/elders_60_abv_male,1639030850642,1639030851115
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_composition[1]/p_l_w,1639030851116,1639030852878
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_vuln_factors[1]/diff_seeing,1639030852879,1639030856324
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_vuln_factors[1]/diff_hearing,1639030856325,1639030863945
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_vuln_factors[1]/diff_walking,1639030863946,1639030891469
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_vuln_factors[1]/hhh_diff_walking,1639030891471,1639030893466
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_vuln_factors[1]/diff_remembering,1639030893467,1639030907768
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_vuln_factors[1]/hhh_diff_remembering,1639030907770,1639030909031
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_vuln_factors[1]/diff_self_care,1639030909032,1639030924731
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_vuln_factors[1]/diff_communicating,1639030924732,1639030928095
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_vuln_factors[1]/heatlh_issue,1639030928096,1639030938880
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement[1]/current_status,1639030938881,1639030941228
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement[1]/move_intention,1639030941230,1639030946339
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact[1]/event_affected,1639030946340,1639030950584
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact[1]/event_affected_o,1639030950585,1639030987538
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact[1]/loss_family_member,1639030987539,1639031003312
question,/ameM9v8nctyy8MRHMJfRX7/assistance[1]/assist_received,1639031003312,1639031007281
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies[1]/insuff_food,1639031007282,1639031019089
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies[1]/sold_asset,1639031019090,1639031039354
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies[1]/seek_employment,1639031039356,1639031043188
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies[1]/working,1639031043189,1639031046145
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies[1]/borrow,1639031046146,1639031052884
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies[1]/medical_attention,1639031052885,1639031056950
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies[1]/early_marry,1639031056951,1639031060519
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs[1]/hh_eat_note,1639031060520,1639031061585
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs[1]/cereal,1639031061586,1639031063527
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs[1]/pulse,1639031063527,1639031075576
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs[1]/vegetable,1639031075577,1639031093251
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs[1]/fruit,1639031093253,1639031098341
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs[1]/meat,1639031098342,1639031102734
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs[1]/dairy,1639031102734,1639031108738
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs[1]/sugar,1639031108740,1639031115106
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs[1]/oil,1639031115107,1639031123908
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs[1]/condiment,1639031123908,1639031126005
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs[1]/hh_had_to_note,1639031126006,1639031129779
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs[1]/less_food,1639031129780,1639031143887
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs[1]/borrow_food,1639031143888,1639031159812
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs[1]/limit_mealtime,1639031159813,1639031178064
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs[1]/restrict_consumption,1639031178065,1639031192341
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs[1]/reduce_meal,1639031192342,1639031211832
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs[1]/shelter_type,1639031211834,1639031215008
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs[1]/shelter_resident,1639031215009,1639031218140
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs[1]/tenure_status,1639031218140,1639031227239
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs[1]/shelter_concern,1639031227240,1639031243416
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs[1]/nfi_need,1639031243417,1639031267287
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs[1]/water_access,1639031267288,1639031282444
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs[1]/water_source,1639031282445,1639031284304
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs[1]/water_far_distance,1639031284304,1639031286578
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs[1]/latrine_access,1639031286579,1639031288686
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs[1]/latrine_disability_friendly,1639031288687,1639031295112
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs[1]/handwashing_facilities,1639031295113,1639031298553
question,/ameM9v8nctyy8MRHMJfRX7/health[1]/health_fac_2hours,1639031298553,1639031304360
question,/ameM9v8nctyy8MRHMJfRX7/health[1]/health_barriers,1639031304361,1639031309739
question,/ameM9v8nctyy8MRHMJfRX7/economic_profile[1]/debt_amount,1639031309740,1639031322060
question,/ameM9v8nctyy8MRHMJfRX7/economic_profile[1]/debt_expenditure,1639031322060,1639031344271
question,/ameM9v8nctyy8MRHMJfRX7/economic_profile[1]/adult_working,1639031344273,1639031347596
question,/ameM9v8nctyy8MRHMJfRX7/protection[1]/protection_question,1639031347597,1639031352259
question,/ameM9v8nctyy8MRHMJfRX7/protection[1]/environmental_dangers,1639031352260,1639031362926
question,/ameM9v8nctyy8MRHMJfRX7/assistance_mod[1]/assist_preference,1639031362927,1639031368476
question,/ameM9v8nctyy8MRHMJfRX7/assistance_mod[1]/cash_safe_market,1639031368477,1639031375377
question,/ameM9v8nctyy8MRHMJfRX7/assistance_mod[1]/feedback_preference,1639031375378,1639031375984
question,/ameM9v8nctyy8MRHMJfRX7/assistance_mod[1]/cash_safe_market,1639031375985,1639031376973
question,/ameM9v8nctyy8MRHMJfRX7/assistance_mod[1]/feedback_preference,1639031376975,1639031388951
question,/ameM9v8nctyy8MRHMJfRX7/comment_box,1639031388951,1639031402030
end screen,,1639031402031,1639031403278
question,/ameM9v8nctyy8MRHMJfRX7/comment_box,1639031403279,1639031504615
question,/ameM9v8nctyy8MRHMJfRX7/assistance_mod[1]/feedback_preference,1639031504617,1639031505764
question,/ameM9v8nctyy8MRHMJfRX7/comment_box,1639031505765,1639031522228
end screen,,1639031522229,1639031523596
form save,,1639031523595,
form exit,,1639031523596,
form finalize,,1639031523596,

