event,node,start,end
form start,,1639380159663,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1639380159664,1639380163336
question,/ameM9v8nctyy8MRHMJfRX7/consent,1639380163345,1639380163960
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1639380163969,1639380205465
question,/ameM9v8nctyy8MRHMJfRX7/consent,1639380205474,1639380216906
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1639380216916,1639380218791
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1639380218802,1639380225930
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1639380225941,1639380228440
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1639380228493,1639380231415
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1639380231432,1639380249939
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1639380249951,1639380266400
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1639380266411,1639380269326
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1639380269337,1639380270351
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1639380270365,1639380270860
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1639380270872,1639380275271
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1639380275281,1639380277118
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1639380277127,1639380283677
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1639380283687,1639380284605
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1639380284616,1639380294400
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1639380294412,1639380305949
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1639380305963,1639380316066
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1639380316080,1639380318113
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1639380318125,1639380319139
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1639380319152,1639380321795
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1639380321807,1639380381305
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1639380381315,1639380386071
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1639380386081,1639380388912
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1639380388923,1639380402863
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1639380402873,1639380408018
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1639380408028,1639380436033
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639380436043,1639380441224
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639380441234,1639380442650
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639380442660,1639380444416
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639380444432,1639380448504
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639380448516,1639380451387
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1639380451395,1639380453168
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1639380453179,1639380460472
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1639380460483,1639380460995
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639380461004,1639380462479
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1639380462491,1639380463241
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1639380463248,1639380465453
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1639380465478,1639380475119
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1639380475129,1639380476079
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1639380476090,1639380480135
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1639380480146,1639380480627
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1639380480636,1639380483260
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1639380483272,1639380487088
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1639380487098,1639380489558
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1639380489569,1639380491943
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_seeing,1639380491956,1639380505608
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_hearing,1639380505621,1639380511326
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_walking,1639380511338,1639380516264
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_remembering,1639380516276,1639380525656
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/hhh_diff_remembering,1639380525667,1639380528091
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_self_care,1639380528105,1639380537657
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/hhh_diff_self_care,1639380537669,1639380539813
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_communicating,1639380539825,1639380545745
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/hhh_diff_communicating,1639380545756,1639380548876
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/heatlh_issue,1639380548887,1639380560731
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/current_status,1639380560741,1639380573676
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/move_intention,1639380573688,1639380582988
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/event_affected,1639380583000,1639380597410
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/loss_family_member,1639380597420,1639380604842
question,/ameM9v8nctyy8MRHMJfRX7/assistance/assist_received,1639380604852,1639380615692
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/insuff_food,1639380615702,1639380620305
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/sold_asset,1639380620315,1639380633434
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/insuff_food,1639380633445,1639380634858
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/sold_asset,1639380634869,1639380637175
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/seek_employment,1639380637187,1639380643017
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/working,1639380643028,1639380652516
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/borrow,1639380652526,1639380675039
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/medical_attention,1639380675049,1639380679081
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/early_marry,1639380679094,1639380682375
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/hh_eat_note,1639380682386,1639380683459
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/cereal,1639380683470,1639380693670
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/pulse,1639380693681,1639380700006
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/vegetable,1639380700018,1639380704697
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/fruit,1639380704706,1639380708592
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/meat,1639380708601,1639380712615
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/dairy,1639380712624,1639380718150
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/sugar,1639380718160,1639380727030
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/oil,1639380727041,1639380735249
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/condiment,1639380735261,1639380737734
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/hh_had_to_note,1639380737745,1639380738733
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/less_food,1639380738744,1639380743318
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/borrow_food,1639380743328,1639380747638
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/limit_mealtime,1639380747649,1639380750924
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/restrict_consumption,1639380750935,1639380759838
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/reduce_meal,1639380759848,1639380765354
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/shelter_type,1639380765364,1639380773029
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/shelter_resident,1639380773041,1639380777424
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/tenure_status,1639380777434,1639380790546
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/shelter_concern,1639380790554,1639380792385
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/tenure_status,1639380792395,1639380796427
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/shelter_concern,1639380796436,1639380813516
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/shelter_concern_o,1639380813528,1639380820801
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/nfi_need,1639380820814,1639380833556
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/water_access,1639380833566,1639380837310
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/water_source,1639380837321,1639380849591
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/water_far_distance,1639380849602,1639380852803
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/latrine_access,1639380852816,1639380861298
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/latrine_disability_friendly,1639380861310,1639380865236
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/handwashing_facilities,1639380865248,1639380873990
question,/ameM9v8nctyy8MRHMJfRX7/health/health_fac_2hours,1639380874000,1639380878029
question,/ameM9v8nctyy8MRHMJfRX7/health/health_barriers,1639380878041,1639380884323
question,/ameM9v8nctyy8MRHMJfRX7/economic_profile/debt_amount,1639380884333,1639380894778
question,/ameM9v8nctyy8MRHMJfRX7/economic_profile/adult_working,1639380894791,1639380898836
question,/ameM9v8nctyy8MRHMJfRX7/economic_profile/adult_working_days,1639380898847,1639380907228
question,/ameM9v8nctyy8MRHMJfRX7/protection/protection_question,1639380907238,1639380926184
question,/ameM9v8nctyy8MRHMJfRX7/protection/environmental_dangers,1639380926195,1639380932499
question,/ameM9v8nctyy8MRHMJfRX7/assistance_mod/assist_preference,1639380932511,1639380934582
question,/ameM9v8nctyy8MRHMJfRX7/assistance_mod/cash_safe_market,1639380934595,1639380945182
question,/ameM9v8nctyy8MRHMJfRX7/assistance_mod/feedback_preference,1639380945192,1639381230463
question,/ameM9v8nctyy8MRHMJfRX7/comment_box,1639381230474,1639381233025
end screen,,1639381233037,1639381234137
question,/ameM9v8nctyy8MRHMJfRX7/comment_box,1639381234138,1639381407764
end screen,,1639381407774,1639381424821
question,/ameM9v8nctyy8MRHMJfRX7/comment_box,1639381424822,1639381427722
question,/ameM9v8nctyy8MRHMJfRX7/assistance_mod/feedback_preference,1639381427732,1639381428729
question,/ameM9v8nctyy8MRHMJfRX7/assistance_mod/cash_safe_market,1639381428739,1639381432009
question,/ameM9v8nctyy8MRHMJfRX7/assistance_mod/assist_preference,1639381432019,1639381435955
question,/ameM9v8nctyy8MRHMJfRX7/protection/environmental_dangers,1639381435966,1639381437335
question,/ameM9v8nctyy8MRHMJfRX7/protection/protection_question,1639381437345,1639381438924
question,/ameM9v8nctyy8MRHMJfRX7/economic_profile/adult_working_days,1639381438935,1639381448093
question,/ameM9v8nctyy8MRHMJfRX7/economic_profile/adult_working,1639381448102,1639381450855
question,/ameM9v8nctyy8MRHMJfRX7/economic_profile/adult_working_days,1639381450865,1639381451501
question,/ameM9v8nctyy8MRHMJfRX7/protection/protection_question,1639381451513,1639381452283
question,/ameM9v8nctyy8MRHMJfRX7/protection/environmental_dangers,1639381452295,1639381453058
question,/ameM9v8nctyy8MRHMJfRX7/assistance_mod/assist_preference,1639381453069,1639381454175
question,/ameM9v8nctyy8MRHMJfRX7/assistance_mod/cash_safe_market,1639381454188,1639381455848
question,/ameM9v8nctyy8MRHMJfRX7/assistance_mod/feedback_preference,1639381455859,1639381457268
question,/ameM9v8nctyy8MRHMJfRX7/comment_box,1639381457279,1639381458331
end screen,,1639381458342,1639381496620
question,/ameM9v8nctyy8MRHMJfRX7/comment_box,1639381496620,1639381497594
end screen,,1639381497605,1639381520186
form save,,1639381520345,
form exit,,1639381520345,
form finalize,,1639381520345,

