event,node,start,end
form start,,1639032740392,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1639032740394,1639032741307
question,/ameM9v8nctyy8MRHMJfRX7/consent,1639032741326,1639032742493
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1639032742506,1639032744082
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1639032744096,1639032754988
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1639032755001,1639032759966
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1639032760051,1639032762658
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1639032762674,1639032783997
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1639032784009,1639032785848
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1639032785863,1639032788365
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1639032788379,1639032792976
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1639032792990,1639032793925
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1639032793938,1639032799036
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1639032799052,1639032810304
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1639032810319,1639032817175
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1639032817189,1639032819000
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1639032819052,1639032831187
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1639032831205,1639032836806
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1639032836818,1639032840165
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1639032840177,1639032986950
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1639032986965,1639032994542
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/HHH_name,1639032994558,1639033005744
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/HHH_father_name,1639033005758,1639033015289
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hhh_gender,1639033015301,1639033018215
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/HHH_age,1639033018230,1639033022674
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1639033022687,1639033028227
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639033028241,1639033030378
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639033030391,1639033036329
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639033036342,1639033039013
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639033039027,1639033040530
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639033040546,1639033042316
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1639033042325,1639033043749
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1639033043766,1639033045257
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1639033045270,1639033046752
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1639033046765,1639033048266
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1639033048281,1639033049792
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1639033049805,1639033051633
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_seeing,1639033051648,1639033056694
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_hearing,1639033056707,1639033059410
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_walking,1639033059423,1639033060168
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_hearing,1639033060183,1639033060944
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_walking,1639033060959,1639033064154
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/hhh_diff_walking,1639033064179,1639033065021
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_walking,1639033065037,1639033066538
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/hhh_diff_walking,1639033066551,1639033070555
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_remembering,1639033070569,1639033077883
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/hhh_diff_remembering,1639033077896,1639033081368
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_self_care,1639033081378,1639033089726
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_communicating,1639033089737,1639033091410
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/heatlh_issue,1639033091420,1639033093402
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/current_status,1639033093415,1639033095661
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displaced_province,1639033095674,1639033101813
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displaced_district,1639033101847,1639033105513
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displacement_duration,1639033105534,1639033107106
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/move_intention,1639033107118,1639033108381
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/event_affected,1639033108394,1639033109898
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/loss_family_member,1639033109912,1639033112673
question,/ameM9v8nctyy8MRHMJfRX7/assistance/assist_received,1639033112686,1639033115060
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/insuff_food,1639033115073,1639033116579
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/sold_asset,1639033116593,1639033118113
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/seek_employment,1639033118126,1639033119595
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/working,1639033119609,1639033121607
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/borrow,1639033121621,1639033123820
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/medical_attention,1639033123833,1639033126347
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/early_marry,1639033126360,1639033127087
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/medical_attention,1639033127102,1639033128365
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/early_marry,1639033128379,1639033130231
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/hh_eat_note,1639033130244,1639033131187
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/cereal,1639033131201,1639033132789
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/pulse,1639033132802,1639033135157
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/vegetable,1639033135171,1639033139811
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/fruit,1639033139825,1639033141367
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/vegetable,1639033141382,1639033142301
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/pulse,1639033142314,1639033143877
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/vegetable,1639033143890,1639033144427
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/fruit,1639033144438,1639033146105
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/meat,1639033146117,1639033147661
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/dairy,1639033147675,1639033151437
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/sugar,1639033151449,1639033154262
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/oil,1639033154273,1639033158764
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/condiment,1639033158777,1639033160421
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/hh_had_to_note,1639033160437,1639033162055
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/less_food,1639033162075,1639033163650
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/borrow_food,1639033163663,1639033166969
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/limit_mealtime,1639033166982,1639033170218
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/restrict_consumption,1639033170233,1639033172134
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/reduce_meal,1639033172147,1639033178677
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/shelter_type,1639033178697,1639033184243
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/shelter_resident,1639033184257,1639033190662
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/tenure_status,1639033190675,1639033193172
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/shelter_concern,1639033193189,1639033198001
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/nfi_need,1639033198019,1639033204999
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/water_access,1639033205013,1639033208367
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/water_source,1639033208379,1639033210211
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/water_far_distance,1639033210226,1639033213552
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/latrine_access,1639033213565,1639033215003
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/latrine_disability_friendly,1639033215016,1639033216436
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/handwashing_facilities,1639033216450,1639033218120
question,/ameM9v8nctyy8MRHMJfRX7/health/health_fac_2hours,1639033218133,1639033219620
question,/ameM9v8nctyy8MRHMJfRX7/health/health_barriers,1639033219634,1639033223532
question,/ameM9v8nctyy8MRHMJfRX7/economic_profile/debt_amount,1639033223547,1639033229690
