event,node,start,end
form start,,1639460955436,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1639460955438,1639460956328
question,/ameM9v8nctyy8MRHMJfRX7/consent,1639460956337,1639460957590
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1639460957602,1639460959026
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1639460959037,1639460962890
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1639460962900,1639460972550
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1639460972586,1639460975597
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1639460975632,1639460987206
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1639460987216,1639461012573
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1639461012583,1639461015074
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1639461015086,1639461020717
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1639461020728,1639461022199
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1639461022210,1639461032608
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1639461032619,1639461038471
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1639461038482,1639461046915
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1639461046925,1639461049030
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1639461049040,1639461063454
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1639461063464,1639461067701
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1639461067712,1639461069249
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1639461069261,1639461076910
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1639461076921,1639461078992
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1639461079003,1639461083106
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639461083118,1639461102493
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639461102503,1639461107173
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639461107184,1639461130524
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639461130533,1639461131890
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639461131901,1639461134721
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1639461134733,1639461136187
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1639461136198,1639461142116
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1639461142127,1639461144996
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1639461145007,1639461145529
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1639461145538,1639461146513
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639461146524,1639461147828
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1639461147840,1639461155006
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639461155017,1639461155473
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639461155484,1639461155939
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639461155949,1639461156755
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639461156766,1639461157240
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639461157251,1639461158325
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1639461158338,1639461158986
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639461158997,1639461159620
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639461159630,1639461161485
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639461161497,1639461162751
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639461162763,1639461163584
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639461163595,1639461173443
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1639461173455,1639461176725
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1639461176736,1639461182354
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1639461182365,1639461184519
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1639461184531,1639461186834
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1639461186845,1639461188316
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1639461188328,1639461190332
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1639461190343,1639461193146
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1639461193157,1639461200307
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1639461200320,1639461206653
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/total_mem_confirm,1639461206663,1639461209001
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1639461209012,1639461209583
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1639461209594,1639461210083
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1639461210092,1639461210569
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1639461210580,1639461211099
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1639461211111,1639461211616
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1639461211627,1639461212151
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1639461212162,1639461218111
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1639461218123,1639461218583
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1639461218594,1639461219060
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1639461219071,1639461219677
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1639461219687,1639461220610
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1639461220622,1639461221627
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1639461221643,1639461222092
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1639461222104,1639461222454
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1639461222468,1639461223309
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1639461223322,1639461224357
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1639461224369,1639461228054
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1639461228065,1639461228454
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1639461228469,1639461233584
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1639461233595,1639461234233
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1639461234248,1639461234949
