event,node,start,end
form start,,1638950426211,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1638950426213,1638950457426
question,/ameM9v8nctyy8MRHMJfRX7/consent,1638950457487,1638950462785
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1638950462953,1638950471145
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1638950471179,1638950481312
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1638950481326,1638950489717
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1638950489886,1638950501826
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1638950501900,1638950503120
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1638950503124,1638950504651
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1638950504660,1638950512206
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1638950512278,1638950517775
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1638950517848,1638950525260
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1638950525263,1638950552453
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1638950552494,1638950559386
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1638950559400,1638950573056
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1638950573069,1638950574324
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1638950574333,1638950606602
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1638950606677,1638950619608
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1638950619656,1638950628067
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1638950628099,1638950630056
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1638950630075,1638950631581
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1638950631585,1638950635951
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1638950635958,1638950741333
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1638950741410,1638950746419
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1638950746425,1638950748641
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1638950748646,1638950787859
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1638950787931,1638950794800
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1638950794812,1638950848301
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1638950848346,1638950852551
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1638950852580,1638950854169
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1638950854173,1638950879904
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1638950879915,1638950883560
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1638950883564,1638950893660
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1638950893760,1638950896747
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1638950896752,1638950897721
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1638950897724,1638950898279
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1638950898296,1638950901575
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1638950901579,1638950903436
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1638950903450,1638950906230
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1638950906240,1638950908014
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1638950908034,1638950909664
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1638950909671,1638950911140
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1638950911148,1638950912863
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_seeing,1638950912868,1638950917176
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_hearing,1638950917183,1638950924674
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_walking,1638950924681,1638950937629
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/hhh_diff_walking,1638950937638,1638950938547
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_walking,1638950938552,1638950939923
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/hhh_diff_walking,1638950939929,1638950940642
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_walking,1638950940647,1638950942990
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/hhh_diff_walking,1638950942993,1638950944312
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_remembering,1638950944315,1638950949637
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_self_care,1638950949643,1638950953481
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_communicating,1638950953488,1638950964397
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/heatlh_issue,1638950964406,1638951000906
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/current_status,1638951000918,1638951009238
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displaced_province,1638951009241,1638951027356
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displaced_district,1638951027462,1638951057523
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displacement_duration,1638951057654,1638951061409
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/move_intention,1638951061419,1638951068256
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displacement_duration,1638951068363,1638951069567
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/move_intention,1638951069571,1638951073325
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/event_affected,1638951073336,1638951074998
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/move_intention,1638951075010,1638951080508
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/event_affected,1638951080513,1638951084502
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/event_affected_o,1638951084506,1638951099503
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/loss_family_member,1638951099526,1638951105670
question,/ameM9v8nctyy8MRHMJfRX7/assistance/assist_received,1638951105679,1638951113785
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/insuff_food,1638951113794,1638951127021
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/sold_asset,1638951127027,1638951139286
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/insuff_food,1638951139294,1638951140567
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/sold_asset,1638951140571,1638951141955
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/seek_employment,1638951141962,1638951145385
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/working,1638951145392,1638951154342
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/borrow,1638951154351,1638951159764
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/medical_attention,1638951159774,1638951161400
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/borrow,1638951161411,1638951172584
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/medical_attention,1638951172594,1638951174379
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/borrow,1638951174385,1638951175930
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/medical_attention,1638951175939,1638951180942
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/early_marry,1638951180949,1638951190172
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/hh_eat_note,1638951190180,1638951192427
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/cereal,1638951192433,1638951199145
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/pulse,1638951199172,1638951208785
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/vegetable,1638951208794,1638951218157
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/fruit,1638951218167,1638951221167
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/meat,1638951221173,1638951226348
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/dairy,1638951226357,1638951230557
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/sugar,1638951230562,1638951232619
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/oil,1638951232630,1638951234785
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/condiment,1638951234796,1638951239794
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/hh_had_to_note,1638951239806,1638951242716
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/less_food,1638951242722,1638951248729
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/borrow_food,1638951248745,1638951282966
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/limit_mealtime,1638951282990,1638951286285
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/restrict_consumption,1638951286294,1638951288601
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/reduce_meal,1638951288608,1638951293655
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/shelter_type,1638951293663,1638951297023
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/shelter_resident,1638951297030,1638951300347
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/tenure_status,1638951300352,1638951311923
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/shelter_concern,1638951311953,1638951350264
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/nfi_need,1638951350337,1638951379153
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/water_access,1638951379241,1638951388065
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/water_source,1638951388070,1638951389937
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/water_far_distance,1638951389949,1638951393806
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/latrine_access,1638951393816,1638951399596
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/latrine_disability_friendly,1638951399603,1638951400960
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/handwashing_facilities,1638951400965,1638951407055
question,/ameM9v8nctyy8MRHMJfRX7/health/health_fac_2hours,1638951407064,1638951411805
question,/ameM9v8nctyy8MRHMJfRX7/health/health_barriers,1638951411815,1638951424071
question,/ameM9v8nctyy8MRHMJfRX7/economic_profile/debt_amount,1638951424076,1638951443259
question,/ameM9v8nctyy8MRHMJfRX7/economic_profile/debt_expenditure,1638951443290,1638951451609
question,/ameM9v8nctyy8MRHMJfRX7/economic_profile/adult_working,1638951451617,1638951454247
question,/ameM9v8nctyy8MRHMJfRX7/protection/protection_question,1638951454252,1638951458765
question,/ameM9v8nctyy8MRHMJfRX7/protection/environmental_dangers,1638951458775,1638951464083
question,/ameM9v8nctyy8MRHMJfRX7/assistance_mod/assist_preference,1638951464097,1638951465261
question,/ameM9v8nctyy8MRHMJfRX7/protection/environmental_dangers,1638951465268,1638951466961
question,/ameM9v8nctyy8MRHMJfRX7/assistance_mod/assist_preference,1638951466966,1638951471892
question,/ameM9v8nctyy8MRHMJfRX7/assistance_mod/cash_safe_market,1638951471897,1638951475602
question,/ameM9v8nctyy8MRHMJfRX7/assistance_mod/feedback_preference,1638951475609,1638951479640
question,/ameM9v8nctyy8MRHMJfRX7/assistance_mod/cash_safe_market,1638951479647,1638951481843
question,/ameM9v8nctyy8MRHMJfRX7/assistance_mod/assist_preference,1638951481848,1638951483385
question,/ameM9v8nctyy8MRHMJfRX7/assistance_mod/cash_safe_market,1638951483389,1638951484707
question,/ameM9v8nctyy8MRHMJfRX7/assistance_mod/feedback_preference,1638951484710,1638951485538
question,/ameM9v8nctyy8MRHMJfRX7/assistance_mod/cash_safe_market,1638951485542,1638951486030
question,/ameM9v8nctyy8MRHMJfRX7/assistance_mod/assist_preference,1638951486034,1638951487080
question,/ameM9v8nctyy8MRHMJfRX7/protection/environmental_dangers,1638951487084,1638951516146
question,/ameM9v8nctyy8MRHMJfRX7/assistance_mod/assist_preference,1638951516158,1638951519721
question,/ameM9v8nctyy8MRHMJfRX7/assistance_mod/cash_safe_market,1638951519728,1638951521348
question,/ameM9v8nctyy8MRHMJfRX7/assistance_mod/feedback_preference,1638951521353,1638951523562
question,/ameM9v8nctyy8MRHMJfRX7/comment_box,1638951523569,1638951536248
end screen,,1638951536263,1638951538969
form save,,1638951539758,
form exit,,1638951539758,
