event,node,start,end
form start,,1639463650072,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1639463650074,1639463762472
question,/ameM9v8nctyy8MRHMJfRX7/consent,1639463762485,1639463962844
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1639463962854,1639463964652
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1639463964662,1639463970905
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1639463970915,1639463973799
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1639463973851,1639463976344
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1639463976384,1639464005257
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1639464005264,1639464034227
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1639464034237,1639464039593
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1639464039604,1639464050162
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1639464050173,1639464051418
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1639464051429,1639464060685
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1639464060693,1639464076474
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1639464076482,1639464079505
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1639464079513,1639464081324
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1639464081334,1639464096498
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1639464096507,1639464100803
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1639464100812,1639464104631
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1639464104640,1639464117277
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1639464117287,1639464119119
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1639464119129,1639464121436
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639464121445,1639464127625
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639464127633,1639464129105
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639464129115,1639464130719
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639464130729,1639464132136
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639464132145,1639464137259
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1639464137269,1639464138775
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639464138785,1639464187252
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639464187264,1639464188039
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639464188047,1639464190259
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639464190268,1639464191147
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639464191156,1639464248245
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1639464248254,1639464249799
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1639464249809,1639464275454
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1639464275463,1639464278194
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1639464278204,1639464279638
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1639464279648,1639464281346
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1639464281357,1639464283713
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_seeing,1639464283723,1639464290982
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_hearing,1639464290992,1639464292435
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_walking,1639464292445,1639464293825
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_remembering,1639464293835,1639464295358
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_self_care,1639464295369,1639464297801
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_communicating,1639464297810,1639464300453
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/heatlh_issue,1639464300463,1639464315571
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/current_status,1639464315581,1639464335018
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displaced_province,1639464335026,1639464343307
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displaced_district,1639464343352,1639464349280
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displacement_duration,1639464349313,1639464357244
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/move_intention,1639464357252,1639464369159
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/event_affected,1639464369166,1639464372637
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/loss_family_member,1639464372645,1639464375444
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/event_affected,1639464375451,1639464394659
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/loss_family_member,1639464394668,1639464397231
question,/ameM9v8nctyy8MRHMJfRX7/assistance/assist_received,1639464397240,1639464402805
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/insuff_food,1639464402815,1639464419741
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/sold_asset,1639464419750,1639464422423
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/seek_employment,1639464422433,1639464425564
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/working,1639464425572,1639464444490
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/borrow,1639464444498,1639464447688
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/medical_attention,1639464447697,1639464458225
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/early_marry,1639464458233,1639464460512
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/hh_eat_note,1639464460521,1639464461778
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/cereal,1639464461786,1639464466177
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/hh_eat_note,1639464466186,1639464479638
