event,node,start,end
form start,,1639392897748,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1639392897749,1639392897957
question,/ameM9v8nctyy8MRHMJfRX7/consent,1639392897966,1639392900356
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1639392900366,1639392902966
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1639392902975,1639392908694
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1639392908707,1639392915408
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1639392915447,1639392940628
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1639392940661,1639392964880
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1639392964889,1639393051495
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1639393051509,1639393054956
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1639393054967,1639393093484
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1639393093493,1639393094619
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1639393094627,1639393123982
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1639393123990,1639393133685
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1639393133693,1639393147765
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1639393147774,1639393150137
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1639393150145,1639393164619
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1639393164633,1639393170613
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1639393170623,1639393175724
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1639393175733,1639393181353
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1639393181363,1639393183107
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1639393183116,1639393198054
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1639393198063,1639393200193
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1639393200200,1639393212368
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639393212376,1639393214874
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639393214882,1639393216378
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639393216385,1639393239225
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639393239235,1639393252253
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639393252262,1639393260020
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1639393260032,1639393262172
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639393262181,1639393266416
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1639393266425,1639393275552
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1639393275560,1639393278976
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1639393278983,1639393282015
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1639393282023,1639393283502
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1639393283511,1639393284839
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1639393284847,1639393287844
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_seeing,1639393287852,1639393297649
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_hearing,1639393297658,1639393300772
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_walking,1639393300782,1639393302374
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_remembering,1639393302383,1639393305464
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_self_care,1639393305474,1639393316955
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_communicating,1639393316965,1639393327278
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/heatlh_issue,1639393327287,1639393339437
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/current_status,1639393339446,1639393341824
