event,node,start,end
form start,,1638859907399,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1638859907400,1638859908805
question,/ameM9v8nctyy8MRHMJfRX7/consent,1638859908814,1638860013772
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1638860013782,1638860014723
question,/ameM9v8nctyy8MRHMJfRX7/consent,1638860014731,1638860057731
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1638860057740,1638860060575
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1638860060583,1638860065874
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1638860065881,1638860069223
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1638860069265,1638860072076
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1638860072086,1638860080681
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1638860080688,1638860081838
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1638860081845,1638860084714
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1638860084721,1638860090039
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1638860090047,1638860091272
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1638860091279,1638860100061
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1638860100068,1638860108876
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1638860108886,1638860119161
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1638860119169,1638860121557
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1638860121564,1638860138066
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1638860138075,1638860146372
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1638860146379,1638860148624
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1638860148632,1638860168821
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1638860168829,1638860171415
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1638860171423,1638860177965
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1638860177972,1638860191259
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1638860191267,1638860192706
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1638860192714,1638860194675
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1638860194683,1638860196101
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1638860196109,1638860202067
