event,node,start,end
form start,,1639033401279,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1639033401281,1639033402213
question,/ameM9v8nctyy8MRHMJfRX7/consent,1639033402220,1639033403663
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1639033403676,1639033405486
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1639033405491,1639033420509
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1639033420516,1639033424243
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1639033424357,1639033426730
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1639033426807,1639033451401
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1639033451405,1639033503785
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1639033503795,1639033505966
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1639033505970,1639033510128
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1639033510133,1639033511584
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1639033511592,1639033541586
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1639033541602,1639033559927
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1639033559932,1639033566851
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1639033566859,1639033568449
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1639033568454,1639033589173
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1639033589181,1639033593367
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1639033593370,1639033594899
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1639033594904,1639033633162
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1639033633170,1639033635078
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1639033635083,1639033638971
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639033638979,1639033640747
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639033640753,1639033642115
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639033642123,1639033643953
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639033643958,1639033645398
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639033645405,1639033657627
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639033657633,1639033658417
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639033658423,1639033659117
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639033659124,1639033659983
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639033659988,1639033660871
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1639033660875,1639033661690
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1639033661695,1639033662489
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1639033662496,1639033666267
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639033666275,1639033671589
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639033671595,1639033672870
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639033672876,1639033674448
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639033674453,1639033675520
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639033675526,1639033678767
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1639033678773,1639033681237
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1639033681244,1639033686058
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1639033686063,1639033687786
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1639033687795,1639033689408
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1639033689413,1639033691017
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1639033691024,1639033692175
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1639033692181,1639033694887
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1639033694892,1639033697621
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/total_mem_confirm,1639033697627,1639033699064
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1639033699069,1639033702387
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1639033702392,1639033703168
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1639033703174,1639033703920
