event,node,start,end
form start,,1639457085082,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1639457085083,1639457086299
question,/ameM9v8nctyy8MRHMJfRX7/consent,1639457086309,1639457088415
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1639457088422,1639457090314
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1639457090321,1639457100762
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1639457100772,1639457104573
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1639457104616,1639457151719
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1639457151753,1639457163688
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1639457163696,1639457578800
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1639457578809,1639457599442
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1639457599451,1639457607146
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1639457607153,1639457608003
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1639457608011,1639457634843
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1639457634851,1639457644453
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1639457644461,1639457649550
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1639457649558,1639457651252
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1639457651260,1639457670806
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1639457670814,1639457676738
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1639457676746,1639457678246
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1639457678254,1639457684464
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1639457684473,1639457686754
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1639457686762,1639457700241
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1639457700249,1639457702445
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1639457702454,1639457705070
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639457705078,1639457707600
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639457707608,1639457709125
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639457709133,1639457712576
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639457712584,1639457715057
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639457715065,1639457731517
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1639457731526,1639457743544
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1639457743553,1639457754409
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1639457754418,1639457761305
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1639457761313,1639457762009
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1639457762018,1639457763830
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1639457763839,1639457765180
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1639457765188,1639457769250
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1639457769258,1639457773035
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1639457773047,1639457774326
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1639457774332,1639457778423
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_seeing,1639457778430,1639457783503
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_hearing,1639457783511,1639457808222
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_walking,1639457808230,1639457810360
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_remembering,1639457810368,1639457811805
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_self_care,1639457811815,1639457814062
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_communicating,1639457814074,1639457818444
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/heatlh_issue,1639457818452,1639457825042
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/current_status,1639457825052,1639457828136
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displaced_province,1639457828144,1639457854505
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displaced_district,1639457854559,1639457857842
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displacement_duration,1639457857872,1639457860853
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/move_intention,1639457860862,1639457863195
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displacement_duration,1639457863203,1639457865104
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/move_intention,1639457865112,1639457871506
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/event_affected,1639457871514,1639457874023
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/loss_family_member,1639457874033,1639457886457
question,/ameM9v8nctyy8MRHMJfRX7/assistance/assist_received,1639457886466,1639457888691
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/insuff_food,1639457888698,1639457898276
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/sold_asset,1639457898285,1639457905643
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/seek_employment,1639457905652,1639457915804
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/working,1639457915812,1639457933424
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/borrow,1639457933433,1639457941851
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/medical_attention,1639457941862,1639457944179
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/early_marry,1639457944189,1639457962901
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/hh_eat_note,1639457962909,1639457990252
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/cereal,1639457990261,1639457993176
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/pulse,1639457993185,1639458002733
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/vegetable,1639458002741,1639458005563
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/fruit,1639458005571,1639458008115
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/meat,1639458008123,1639458010835
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/dairy,1639458010843,1639458014578
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/sugar,1639458014586,1639458018862
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/oil,1639458018870,1639458024346
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/condiment,1639458024354,1639458027445
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/hh_had_to_note,1639458027454,1639458028660
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/less_food,1639458028668,1639458030673
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/borrow_food,1639458030681,1639458033010
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/limit_mealtime,1639458033018,1639458035334
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/restrict_consumption,1639458035343,1639458038078
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/reduce_meal,1639458038084,1639458043055
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/shelter_type,1639458043062,1639458045545
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/shelter_resident,1639458045555,1639458051328
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/tenure_status,1639458051336,1639458064084
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/shelter_concern,1639458064093,1639458071154
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/nfi_need,1639458071163,1639458083238
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/water_access,1639458083247,1639458087199
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/water_source,1639458087207,1639458089954
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/water_far_distance,1639458089963,1639458091424
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/latrine_access,1639458091433,1639458095216
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/latrine_disability_friendly,1639458095224,1639458098843
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/handwashing_facilities,1639458098851,1639458104479
question,/ameM9v8nctyy8MRHMJfRX7/health/health_fac_2hours,1639458104488,1639458107117
