event,node,start,end
form start,,1639460299635,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1639460299636,1639460300405
question,/ameM9v8nctyy8MRHMJfRX7/consent,1639460300418,1639460303377
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1639460303386,1639460315570
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1639460315582,1639460323717
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1639460323729,1639460327617
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1639460327673,1639460330307
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1639460330326,1639460360483
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1639460360497,1639460478413
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1639460478431,1639460479964
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1639460479977,1639460480774
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1639460480786,1639460504159
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1639460504171,1639460508368
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1639460508382,1639460519212
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1639460519233,1639460584309
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1639460584323,1639460594112
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1639460594124,1639460624600
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1639460624614,1639460626492
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1639460626504,1639460657585
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1639460657614,1639460664384
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1639460664396,1639460670093
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1639460670105,1639460694538
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1639460694553,1639460701366
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1639460701382,1639460711486
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639460711501,1639460730326
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639460730337,1639460741125
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639460741138,1639460747820
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639460747832,1639460749161
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639460749170,1639460761867
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1639460761880,1639460770146
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1639460770158,1639460771865
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1639460771878,1639460773081
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1639460773095,1639460777573
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1639460777581,1639460779092
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1639460779102,1639460787293
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1639460787306,1639460788675
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_seeing,1639460788687,1639460802139
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/HHH_diff_seeing,1639460802150,1639460804381
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_seeing,1639460804393,1639460805631
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_hearing,1639460805644,1639460812483
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_walking,1639460812498,1639460824472
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_remembering,1639460824485,1639460829132
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_self_care,1639460829143,1639460829807
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_remembering,1639460829820,1639460831800
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/hhh_diff_remembering,1639460831812,1639460834053
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_self_care,1639460834065,1639460840445
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_communicating,1639460840458,1639460851001
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/heatlh_issue,1639460851012,1639460852825
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/current_status,1639460852839,1639460855359
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displaced_province,1639460855370,1639460859586
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displaced_district,1639460859636,1639460862278
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displacement_duration,1639460862300,1639460863704
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/move_intention,1639460863717,1639460865179
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/event_affected,1639460865191,1639460868597
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/loss_family_member,1639460868610,1639460870772
question,/ameM9v8nctyy8MRHMJfRX7/assistance/assist_received,1639460870789,1639460872949
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/insuff_food,1639460872965,1639460875871
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/hh_eat_note,1639460875884,1639460876624
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/insuff_food,1639460876640,1639460878161
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/sold_asset,1639460878179,1639460879726
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/seek_employment,1639460879744,1639460885954
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/working,1639460885968,1639460887513
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/borrow,1639460887528,1639460888080
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/working,1639460888093,1639460889296
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/borrow,1639460889308,1639460890763
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/medical_attention,1639460890775,1639460892630
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/early_marry,1639460892643,1639460894497
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/hh_eat_note,1639460894512,1639460895397
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/cereal,1639460895412,1639460897015
