event,node,start,end
form start,,1639467704157,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1639467704160,1639467706246
question,/ameM9v8nctyy8MRHMJfRX7/consent,1639467706264,1639467708915
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1639467708931,1639467710714
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1639467710729,1639467721825
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1639467721840,1639467725735
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1639467725806,1639467728794
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1639467728817,1639467782896
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1639467782913,1639467846682
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1639467846696,1639467849835
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1639467849852,1639467850975
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1639467850989,1639467851725
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1639467851740,1639467876303
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1639467876317,1639467892526
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1639467892542,1639467908745
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1639467908759,1639467909904
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1639467909917,1639467910913
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1639467910926,1639467912321
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1639467912336,1639467927120
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1639467927136,1639467967721
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1639467967734,1639467970589
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1639467970601,1639467972563
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1639467972578,1639467994149
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1639467994162,1639467999234
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1639467999248,1639468000909
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1639468000923,1639468029112
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1639468029129,1639468030462
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1639468030477,1639468063801
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1639468063815,1639468065844
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1639468065858,1639468068403
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639468068416,1639468140082
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639468140097,1639468147622
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639468147633,1639468156041
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639468156054,1639468161575
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639468161590,1639468166244
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1639468166256,1639468170353
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1639468170366,1639468179467
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1639468179482,1639468193271
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1639468193284,1639468193695
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1639468193707,1639468194388
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1639468194400,1639468201774
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1639468201788,1639468213869
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1639468213883,1639468218613
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1639468218627,1639468225657
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1639468225670,1639468233126
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1639468233141,1639468235519
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1639468235533,1639468240737
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1639468240750,1639468242362
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_seeing,1639468242375,1639468248380
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/HHH_diff_seeing,1639468248395,1639468280012
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_hearing,1639468280025,1639468336391
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/hhh_diff_hearing,1639468336405,1639468340126
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_walking,1639468340139,1639468348570
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/hhh_diff_walking,1639468348591,1639468354597
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_remembering,1639468354610,1639468362853
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/hhh_diff_remembering,1639468362866,1639468365344
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_remembering,1639468365357,1639468366638
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/hhh_diff_remembering,1639468366651,1639468370279
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_self_care,1639468370293,1639468378785
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/hhh_diff_self_care,1639468378800,1639468381194
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_self_care,1639468381208,1639468382311
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/hhh_diff_self_care,1639468382329,1639468387746
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_communicating,1639468387760,1639468397322
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/hhh_diff_communicating,1639468397337,1639468400582
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/heatlh_issue,1639468400595,1639468409117
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/current_status,1639468409131,1639468431103
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displaced_province,1639468431120,1639468435287
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displaced_district,1639468435319,1639468442272
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displacement_duration,1639468442293,1639468475821
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displaced_district,1639468475837,1639468500249
