event,node,start,end
form start,,1639374459553,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1639374459555,1639374461006
question,/ameM9v8nctyy8MRHMJfRX7/consent,1639374461020,1639374462486
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1639374462495,1639374464208
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1639374464217,1639374472802
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1639374472811,1639374475790
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1639374475839,1639374478744
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1639374478756,1639374484451
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1639374484459,1639374522202
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1639374522220,1639374525208
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1639374525219,1639374530561
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1639374530569,1639374531462
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1639374531475,1639374540440
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1639374540448,1639374548550
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1639374548558,1639374568343
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1639374568351,1639374570664
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1639374570706,1639374584147
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1639374584156,1639374589220
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1639374589228,1639374595444
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1639374595451,1639374623164
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1639374623172,1639374626552
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1639374626560,1639374628705
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639374628713,1639374633447
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639374633456,1639374635297
