event,node,start,end
form start,,1639464677199,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1639464677200,1639464677874
question,/ameM9v8nctyy8MRHMJfRX7/consent,1639464677885,1639464679189
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1639464679201,1639464680608
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1639464680620,1639464687335
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1639464687348,1639464699922
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1639464699971,1639464711835
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1639464711861,1639464724122
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1639464724133,1639464745854
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1639464745866,1639464747932
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1639464747945,1639464757349
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1639464757360,1639464758324
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1639464758335,1639464778005
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1639464778020,1639464795604
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1639464795617,1639464798579
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1639464798590,1639464800021
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1639464800034,1639464808225
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1639464808238,1639464814701
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1639464814713,1639464816026
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1639464816037,1639464835385
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1639464835398,1639464837977
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1639464838045,1639464843221
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639464843235,1639464851074
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639464851088,1639464852041
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639464852052,1639464856441
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639464856455,1639464857692
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639464857706,1639464866419
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1639464866432,1639464874816
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1639464874828,1639464878250
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1639464878262,1639464879458
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1639464879472,1639464882076
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1639464882086,1639464883143
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1639464883157,1639464883659
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1639464883668,1639464884235
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1639464884245,1639464884869
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1639464884881,1639464885210
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639464885224,1639464885827
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639464885903,1639464886869
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639464886882,1639464887661
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639464887672,1639464888786
