event,node,start,end
form start,,1639034867361,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1639034867362,1639034868201
question,/ameM9v8nctyy8MRHMJfRX7/consent,1639034868209,1639034869480
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1639034869490,1639034870745
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1639034870756,1639034877345
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1639034877352,1639034881333
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1639034881385,1639034884552
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1639034884562,1639034897074
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1639034897081,1639034926055
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1639034926062,1639034929536
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1639034929542,1639034946164
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1639034946171,1639034968524
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1639034968531,1639034999831
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1639034999839,1639035012419
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1639035012425,1639035018278
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1639035018284,1639035020535
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1639035020541,1639035030261
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1639035030268,1639035035864
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1639035035872,1639035037763
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1639035037769,1639035046541
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1639035046548,1639035048143
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1639035048151,1639035077643
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639035077649,1639035079732
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639035079739,1639035081022
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639035081029,1639035083116
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639035083122,1639035085062
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639035085068,1639035087150
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1639035087157,1639035099344
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1639035099351,1639035103480
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1639035103487,1639035105360
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1639035105366,1639035110189
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1639035110196,1639035117428
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1639035117435,1639035119608
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1639035119615,1639035120847
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1639035120854,1639035122502
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_seeing,1639035122509,1639035128421
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_hearing,1639035128430,1639035135585
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_walking,1639035135594,1639035139208
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/hhh_diff_walking,1639035139215,1639035144532
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_walking,1639035144539,1639035147174
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/hhh_diff_walking,1639035147181,1639035149239
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_remembering,1639035149248,1639035160311
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/hhh_diff_remembering,1639035160318,1639035163270
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_self_care,1639035163280,1639035174599
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/hhh_diff_self_care,1639035174606,1639035177349
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_self_care,1639035177355,1639035185312
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/hhh_diff_self_care,1639035185319,1639035187634
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_communicating,1639035187643,1639035192123
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/heatlh_issue,1639035192133,1639035196056
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/current_status,1639035196062,1639035199428
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/move_intention,1639035199435,1639035201175
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/event_affected,1639035201183,1639035203618
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/loss_family_member,1639035203624,1639035206043
question,/ameM9v8nctyy8MRHMJfRX7/assistance/assist_received,1639035206051,1639035207757
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/insuff_food,1639035207764,1639035217790
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/sold_asset,1639035217797,1639035221225
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/seek_employment,1639035221231,1639035226158
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/working,1639035226165,1639035228373
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/borrow,1639035228380,1639035235802
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/medical_attention,1639035235809,1639035238202
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/early_marry,1639035238211,1639035239934
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/hh_eat_note,1639035239943,1639035241103
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/cereal,1639035241110,1639035244749
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/pulse,1639035244756,1639035250437
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/vegetable,1639035250450,1639035268429
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/fruit,1639035268436,1639035270709
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/meat,1639035270716,1639035272225
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/dairy,1639035272232,1639035275399
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/sugar,1639035275406,1639035283809
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/oil,1639035283816,1639035285831
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/condiment,1639035285840,1639035288499
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/hh_had_to_note,1639035288506,1639035291008
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/less_food,1639035291015,1639035292452
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/borrow_food,1639035292459,1639035296997
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/limit_mealtime,1639035297003,1639035298955
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/restrict_consumption,1639035298961,1639035301870
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/reduce_meal,1639035301876,1639035307032
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/shelter_type,1639035307039,1639035309546
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/shelter_resident,1639035309554,1639035312178
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/tenure_status,1639035312185,1639035316491
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/shelter_concern,1639035316498,1639035320721
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/nfi_need,1639035320730,1639035321594
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/shelter_concern,1639035321601,1639035322930
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/nfi_need,1639035322937,1639035328977
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/water_access,1639035328984,1639035331162
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/water_source,1639035331171,1639035332391
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/water_far_distance,1639035332398,1639035333772
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/latrine_access,1639035333779,1639035337804
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/latrine_disability_friendly,1639035337813,1639035340247
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/handwashing_facilities,1639035340254,1639035342049
question,/ameM9v8nctyy8MRHMJfRX7/health/health_fac_2hours,1639035342059,1639035344542
question,/ameM9v8nctyy8MRHMJfRX7/health/health_barriers,1639035344550,1639035348252
question,/ameM9v8nctyy8MRHMJfRX7/economic_profile/debt_amount,1639035348260,1639035355515
question,/ameM9v8nctyy8MRHMJfRX7/economic_profile/debt_expenditure,1639035355522,1639035364095
question,/ameM9v8nctyy8MRHMJfRX7/economic_profile/adult_working,1639035364103,1639035366608
