event,node,start,end
form start,,1639464047699,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1639464047700,1639464048279
question,/ameM9v8nctyy8MRHMJfRX7/consent,1639464048286,1639464049462
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1639464049471,1639464050812
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1639464050820,1639464057187
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1639464057195,1639464059919
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1639464059956,1639464062334
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1639464062343,1639464070966
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1639464070973,1639464347665
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1639464347674,1639464349730
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1639464349738,1639464353439
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1639464353445,1639464354626
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1639464354632,1639464371405
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1639464371412,1639464385877
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1639464385885,1639464386520
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1639464386528,1639464390590
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1639464390597,1639464392862
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1639464392870,1639464393305
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1639464393313,1639464396121
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1639464396129,1639464397333
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1639464397341,1639464401794
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1639464401802,1639464403282
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1639464403290,1639464412282
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1639464412289,1639464419300
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1639464419309,1639464423495
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type_other,1639464423503,1639464428667
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1639464428674,1639464442981
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1639464442989,1639464446950
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1639464446960,1639464449950
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639464449958,1639464459360
