event,node,start,end
form start,,1638851882823,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1638851882825,1638851883353
question,/ameM9v8nctyy8MRHMJfRX7/consent,1638851883367,1638851884659
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1638851884670,1638851885999
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1638851886011,1638851890446
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1638851890462,1638851893638
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1638851893679,1638851895787
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1638851895815,1638851914630
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1638851914644,1638852024790
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1638852024805,1638852026821
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1638852026835,1638852033155
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1638852033170,1638852034127
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1638852034142,1638852046564
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1638852046579,1638852055271
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1638852055285,1638852064525
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1638852064540,1638852066050
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1638852066066,1638852080264
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1638852080279,1638852090529
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1638852090543,1638852092130
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1638852092147,1638852107240
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1638852107253,1638852108733
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1638852108749,1638852111822
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1638852111836,1638852120693
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1638852120708,1638852122095
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1638852122110,1638852124109
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1638852124125,1638852125536
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1638852125552,1638852127854
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1638852127870,1638852130048
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1638852130063,1638852132907
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1638852132922,1638852135268
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1638852135283,1638852137152
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1638852137167,1638852138799
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1638852138815,1638852140029
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_seeing,1638852140045,1638852149760
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/HHH_diff_seeing,1638852149774,1638852151900
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_hearing,1638852151916,1638852155590
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/hhh_diff_hearing,1638852155606,1638852156787
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_walking,1638852156803,1638852159982
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_remembering,1638852159997,1638852163113
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_self_care,1638852163128,1638852166136
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_communicating,1638852166151,1638852169588
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/hhh_diff_communicating,1638852169603,1638852171008
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/heatlh_issue,1638852171024,1638852173417
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/current_status,1638852173433,1638852175148
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displaced_province,1638852175165,1638852178248
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displaced_district,1638852178273,1638852181135
