event,node,start,end
form start,,1639465933076,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1639465933077,1639465934366
question,/ameM9v8nctyy8MRHMJfRX7/consent,1639465934374,1639465935980
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1639465935988,1639465937754
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1639465937762,1639465942894
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1639465942903,1639465946866
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1639465946920,1639465949836
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1639465949846,1639465955394
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1639465955403,1639465964439
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1639465964446,1639465967144
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1639465967152,1639465973067
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1639465973075,1639465973818
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1639465973827,1639466003607
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1639466003615,1639466016656
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1639466016665,1639466025719
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1639466025726,1639466027170
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1639466027178,1639466044563
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1639466044571,1639466050234
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1639466050242,1639466051903
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1639466051912,1639466066288
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1639466066296,1639466067857
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1639466067866,1639466073080
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639466073088,1639466076635
