event,node,start,end
form start,,1638771419869,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1638771419869,1638771458700
question,/ameM9v8nctyy8MRHMJfRX7/consent,1638771458708,1638771460052
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1638771460059,1638771465324
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1638771465332,1638771470052
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1638771470059,1638771472396
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1638771472429,1638771474556
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1638771474578,1638771495374
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1638771495382,1638771496918
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1638771496926,1638771498873
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1638771498881,1638771502006
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1638771502012,1638771502823
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1638771502831,1638771525868
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1638771525876,1638771535369
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1638771535377,1638771562882
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1638771562888,1638771564566
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1638771564572,1638771592858
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1638771592866,1638771752588
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1638771752597,1638771754682
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1638771754688,1638771765550
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1638771765559,1638771767185
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1638771767194,1638771778608
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1638771778617,1638771790594
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1638771790602,1638771793372
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1638771793380,1638771796826
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1638771796832,1638771798318
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1638771798324,1638771799661
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1638771799668,1638771800946
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1638771800953,1638771802448
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1638771802455,1638771803932
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1638771803939,1638771806334
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1638771806342,1638771808403
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1638771808412,1638771810163
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1638771810170,1638771811773
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1638771811781,1638771814742
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1638771814749,1638771816218
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_seeing,1638771816227,1638771823385
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_hearing,1638771823392,1638771824461
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_walking,1638771824469,1638771825478
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_remembering,1638771825486,1638771826588
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_self_care,1638771826596,1638771827722
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_communicating,1638771827730,1638771828840
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/heatlh_issue,1638771828848,1638771837658
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/current_status,1638771837666,1638771843781
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displaced_province,1638771843789,1638771847225
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displaced_district,1638771847249,1638771854457
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displacement_duration,1638771854482,1638771861150
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/move_intention,1638771861158,1638771873002
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/event_affected,1638771873011,1638771881543
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/loss_family_member,1638771881550,1638771892113
question,/ameM9v8nctyy8MRHMJfRX7/assistance/assist_received,1638771892120,1638771905732
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/insuff_food,1638771905738,1638771920327
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/sold_asset,1638771920334,1638771928005
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/seek_employment,1638771928011,1638771946949
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/working,1638771946955,1638771964104
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/borrow,1638771964111,1638771968508
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/medical_attention,1638771968514,1638771974971
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/borrow,1638771974979,1638771975690
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/working,1638771975696,1638771976251
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/seek_employment,1638771976259,1638771976825
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/sold_asset,1638771976833,1638771977441
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/insuff_food,1638771977448,1638771978078
question,/ameM9v8nctyy8MRHMJfRX7/assistance/assist_received,1638771978086,1638771978816
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/loss_family_member,1638771978823,1638771979617
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/event_affected,1638771979626,1638771980318
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/move_intention,1638771980325,1638771981076
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displacement_duration,1638771981084,1638771982094
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displaced_district,1638771982120,1638771983037
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displaced_province,1638771983065,1638771983962
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/current_status,1638771983971,1638771984797
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/heatlh_issue,1638771984805,1638771985764
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_communicating,1638771985772,1638771986582
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/heatlh_issue,1638771986589,1638771987457
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/current_status,1638771987465,1638771988167
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displaced_province,1638771988173,1638771988834
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displaced_district,1638771988855,1638771989576
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displacement_duration,1638771989597,1638771990310
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/move_intention,1638771990317,1638771991161
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/event_affected,1638771991168,1638771992062
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/loss_family_member,1638771992070,1638771992896
question,/ameM9v8nctyy8MRHMJfRX7/assistance/assist_received,1638771992904,1638771993730
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/insuff_food,1638771993738,1638771994608
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/sold_asset,1638771994616,1638771995400
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/seek_employment,1638771995407,1638771996234
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/working,1638771996242,1638771997035
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/borrow,1638771997041,1638771997877
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/medical_attention,1638771997885,1638772001773
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/early_marry,1638772001781,1638772011137
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/hh_eat_note,1638772011145,1638772012204
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/cereal,1638772012212,1638772035777
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/pulse,1638772035784,1638772042734
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/vegetable,1638772042745,1638772048823
