event,node,start,end
form start,,1639290552409,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1639290552409,1639290553359
question,/ameM9v8nctyy8MRHMJfRX7/consent,1639290553380,1639290554774
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1639290554779,1639290595692
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1639290595704,1639290605377
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1639290605386,1639290613648
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1639290613744,1639290638053
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1639290638063,1639290667768
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1639290667777,1639290774344
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1639290774356,1639290780988
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1639290780995,1639290794018
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1639290794025,1639290795056
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1639290795063,1639290807599
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1639290807606,1639290819325
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1639290819333,1639290822898
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1639290822905,1639290824354
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1639290824361,1639290825751
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1639290825758,1639290826722
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1639290826730,1639290829202
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1639290829208,1639290829955
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1639290829964,1639290861950
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1639290861967,1639290868357
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1639290868365,1639290869875
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1639290869881,1639290879558
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1639290879564,1639290880631
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1639290880639,1639290882419
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1639290882428,1639290884169
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1639290884176,1639290915772
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639290915782,1639290972704
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639290972715,1639290979536
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639290979553,1639290989094
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639290989113,1639291012404
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639291012426,1639291014726
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639291014733,1639291020482
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639291020496,1639291031042
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639291031057,1639291033063
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639291033074,1639291036617
