event,node,start,end
form start,,1639289979323,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1639289979324,1639289980400
question,/ameM9v8nctyy8MRHMJfRX7/consent,1639289980409,1639289982231
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1639289982240,1639289983885
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1639289983895,1639289988075
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1639289988085,1639289991316
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1639289991335,1639289994302
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1639289994312,1639290004775
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1639290004783,1639290042992
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1639290043000,1639290051902
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1639290051910,1639290055843
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1639290055853,1639290056921
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1639290056932,1639290067300
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1639290067309,1639290077973
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1639290077981,1639290087584
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1639290087593,1639290090597
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1639290090605,1639290117745
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1639290117752,1639290140233
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1639290140241,1639290142727
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1639290142733,1639290155443
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1639290155451,1639290158245
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1639290158255,1639290163218
