event,node,start,end
form start,,1639470275143,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1639470275146,1639470276184
question,/ameM9v8nctyy8MRHMJfRX7/consent,1639470276195,1639470277512
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1639470277522,1639470279259
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1639470279267,1639470289321
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1639470289330,1639470290905
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1639470290914,1639470291940
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1639470291948,1639470294991
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1639470295028,1639470299406
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1639470299429,1639470309979
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1639470309987,1639470334270
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1639470334281,1639470341658
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1639470341668,1639470345681
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1639470345691,1639470346647
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1639470346656,1639470360644
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1639470360653,1639470407664
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1639470407673,1639470417140
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1639470417147,1639470418856
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1639470418865,1639470443050
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1639470443058,1639470452786
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1639470452793,1639470454368
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1639470454376,1639470465968
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1639470465975,1639470470125
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1639470470134,1639470488415
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639470488422,1639470520909
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639470520917,1639470528904
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639470528913,1639470530898
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639470530905,1639470532346
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639470532354,1639470534733
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1639470534741,1639470536260
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1639470536268,1639470538708
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1639470538716,1639470540155
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1639470540163,1639470544459
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1639470544467,1639470546330
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1639470546338,1639470547169
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1639470547179,1639470548126
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1639470548134,1639470550837
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1639470550845,1639470551659
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1639470551667,1639470568557
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1639470568565,1639470569584
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1639470569593,1639470572632
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1639470572641,1639470574102
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1639470574111,1639470579580
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1639470579601,1639470583662
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_seeing,1639470583677,1639470585517
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_hearing,1639470585526,1639470586956
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_seeing,1639470586965,1639470595373
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/HHH_diff_seeing,1639470595383,1639470597802
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_hearing,1639470597813,1639470602127
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/hhh_diff_hearing,1639470602143,1639470603662
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_walking,1639470603670,1639470605882
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/hhh_diff_walking,1639470605892,1639470607258
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_remembering,1639470607267,1639470610062
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/hhh_diff_remembering,1639470610071,1639470611357
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_self_care,1639470611365,1639470615323
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/hhh_diff_remembering,1639470615330,1639470615761
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_remembering,1639470615768,1639470616190
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/hhh_diff_walking,1639470616197,1639470616618
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_walking,1639470616625,1639470617002
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/hhh_diff_hearing,1639470617009,1639470617395
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_hearing,1639470617402,1639470617788
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/HHH_diff_seeing,1639470617795,1639470618315
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_seeing,1639470618323,1639470619288
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1639470619295,1639470622709
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1639470622717,1639470623307
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1639470623314,1639470626075
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1639470626091,1639470626633
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1639470626641,1639470627035
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_seeing,1639470627042,1639470627411
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/HHH_diff_seeing,1639470627420,1639470627991
