event,node,start,end
form start,,1638961388168,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1638961388168,1638961389208
question,/ameM9v8nctyy8MRHMJfRX7/consent,1638961389216,1638961391045
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1638961391053,1638961393062
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1638961393070,1638961398867
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1638961398875,1638961401603
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1638961401637,1638961406992
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1638961407021,1638961480532
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1638961480541,1638961629534
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1638961629544,1638961631898
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1638961631907,1638961636341
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1638961636350,1638961637442
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1638961637451,1638961660235
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1638961660245,1638961679036
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1638961679048,1638961704555
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1638961704563,1638961706574
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1638961706583,1638961712797
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1638961712805,1638961730422
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1638961730429,1638961732065
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1638961732074,1638961766998
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1638961767008,1638961768674
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1638961768682,1638961787684
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1638961787692,1638961796552
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1638961796561,1638961798688
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1638961798697,1638961800506
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1638961800515,1638961804593
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1638961804601,1638961808797
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1638961808805,1638961810307
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1638961810314,1638961812826
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1638961812835,1638961814945
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1638961814953,1638961817714
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1638961817725,1638961820516
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1638961820526,1638961823294
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1638961823303,1638961830938
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_seeing,1638961830947,1638961833223
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_hearing,1638961833232,1638961834966
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_walking,1638961834976,1638961838703
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_remembering,1638961838711,1638961842139
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/hhh_diff_remembering,1638961842148,1638961843516
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_self_care,1638961843525,1638961845760
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_communicating,1638961845769,1638961849196
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/heatlh_issue,1638961849205,1638961851198
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/current_status,1638961851207,1638961852925
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displaced_province,1638961852934,1638961858180
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displaced_district,1638961858208,1638961889960
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displacement_duration,1638961889994,1638961895957
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/move_intention,1638961895965,1638961901529
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/event_affected,1638961901537,1638961905291
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/loss_family_member,1638961905300,1638961907509
question,/ameM9v8nctyy8MRHMJfRX7/assistance/assist_received,1638961907517,1638961910830
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/insuff_food,1638961910838,1638961914319
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/sold_asset,1638961914329,1638961918139
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/seek_employment,1638961918147,1638961929559
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/working,1638961929567,1638961931252
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/borrow,1638961931259,1638961935614
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/medical_attention,1638961935623,1638961937641
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/early_marry,1638961937650,1638961940568
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/hh_eat_note,1638961940576,1638961942527
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/cereal,1638961942536,1638961947360
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/pulse,1638961947369,1638961949295
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/vegetable,1638961949303,1638961951756
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/fruit,1638961951765,1638961953390
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/meat,1638961953399,1638961955443
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/dairy,1638961955454,1638961957127
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/sugar,1638961957135,1638961958586
