event,node,start,end
form start,,1638354912842,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1638354912843,1638354913423
question,/ameM9v8nctyy8MRHMJfRX7/consent,1638354913429,1638354914568
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1638354914579,1638354916021
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1638354916030,1638354943596
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1638354943603,1638354951626
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1638354951659,1638354954032
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1638354954043,1638354961962
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1638354961970,1638354979843
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1638354979850,1638354981886
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1638354981895,1638354988885
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1638354988892,1638354991400
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1638354991407,1638354992687
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1638354992694,1638354993088
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1638354993095,1638354999463
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1638354999471,1638355000391
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1638355000398,1638355006073
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1638355006080,1638355010610
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1638355010618,1638355016702
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1638355016709,1638355018063
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1638355018071,1638355028492
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1638355028500,1638355037567
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1638355037574,1638355039463
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1638355039471,1638355054796
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1638355054804,1638355056275
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1638355056282,1638355059684
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1638355059692,1638355089682
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1638355089691,1638355091086
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1638355091094,1638355103094
