event,node,start,end
form start,,1638420560453,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1638420560455,1638420664801
question,/ameM9v8nctyy8MRHMJfRX7/consent,1638420664810,1638420819677
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1638420819687,1638420821479
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1638420821490,1638420827223
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1638420827236,1638420862305
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1638420862360,1638420865159
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1638420865196,1638420873654
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1638420873662,1638420894090
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1638420894099,1638420897612
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1638420897623,1638420923466
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1638420923489,1638420925618
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1638420925625,1638420930406
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1638420930413,1638420931462
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1638420931470,1638420958497
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1638420958506,1638420960660
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1638420960668,1638420990937
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1638420990946,1638420997479
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1638420997487,1638421004157
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1638421004166,1638421007071
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1638421007080,1638421024069
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1638421024077,1638421047000
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1638421047008,1638421054626
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type_other,1638421054636,1638421067792
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1638421067801,1638421069510
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type_other,1638421069518,1638421071253
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1638421071262,1638421073403
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type_other,1638421073411,1638421097107
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1638421097115,1638421104965
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1638421104972,1638421110420
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/HHH_name,1638421110430,1638421118213
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/HHH_father_name,1638421118222,1638421131861
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hhh_gender,1638421131869,1638421134759
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/HHH_age,1638421134768,1638421144077
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1638421144085,1638421148516
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1638421148524,1638421169170
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1638421169177,1638421179991
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1638421179999,1638421201086
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1638421201096,1638421202118
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1638421202126,1638421214350
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1638421214361,1638421215851
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1638421215859,1638421219358
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1638421219370,1638421230388
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1638421230398,1638421233215
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1638421233226,1638421236236
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1638421236243,1638421237773
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1638421237782,1638421239882
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1638421239891,1638421249043
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1638421249055,1638421251531
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/total_mem_confirm,1638421251541,1638421253930
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1638421253938,1638421254725
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1638421254733,1638421255439
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1638421255447,1638421256090
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1638421256099,1638421256922
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1638421256931,1638421260502
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1638421260510,1638421262354
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1638421262364,1638421264887
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1638421264897,1638421266088
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1638421266097,1638421266992
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1638421267001,1638421268030
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1638421268041,1638421269141
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_seeing,1638421269150,1638421283431
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_hearing,1638421283441,1638421285337
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_walking,1638421285347,1638421286828
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_remembering,1638421286840,1638421288319
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_self_care,1638421288330,1638421289847
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_communicating,1638421289855,1638421291429
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/heatlh_issue,1638421291438,1638421297484
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/current_status,1638421297493,1638421307210
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displacement_duration,1638421307219,1638421310266
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/move_intention,1638421310273,1638421312719
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/event_affected,1638421312725,1638421319348
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/loss_family_member,1638421319355,1638421322404
question,/ameM9v8nctyy8MRHMJfRX7/assistance/assist_received,1638421322411,1638421324499
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/insuff_food,1638421324511,1638421346817
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/sold_asset,1638421346826,1638421349326
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/seek_employment,1638421349336,1638421352312
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/working,1638421352320,1638421354972
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/borrow,1638421354981,1638421357302
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/medical_attention,1638421357310,1638421363595
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/borrow,1638421363605,1638421364383
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/medical_attention,1638421364392,1638421365776
