event,node,start,end
form start,,1638857450485,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1638857450486,1638857451510
question,/ameM9v8nctyy8MRHMJfRX7/consent,1638857451518,1638857452677
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1638857452684,1638857456440
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1638857456449,1638857461236
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1638857461244,1638857464779
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1638857464833,1638857466927
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1638857466937,1638858085780
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1638858085788,1638858086683
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1638858086692,1638858089490
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1638858089498,1638858108943
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1638858108951,1638858111659
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1638858111666,1638858119638
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1638858119645,1638858120281
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1638858120289,1638858135046
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1638858135054,1638858140762
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1638858140769,1638858145675
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1638858145683,1638858197548
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1638858197556,1638858209915
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1638858209923,1638858217585
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1638858217594,1638858220610
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1638858220618,1638858236469
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1638858236477,1638858238149
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1638858238157,1638858240773
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1638858240785,1638858253256
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1638858253263,1638858256031
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1638858256038,1638858282711
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1638858282718,1638858285803
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1638858285811,1638858295328
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1638858295335,1638858296415
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1638858296422,1638858298078
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1638858298086,1638858301194
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1638858301203,1638858301921
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1638858301929,1638858302432
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1638858302439,1638858302991
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1638858302999,1638858303433
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1638858303440,1638858303945
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1638858303955,1638858306091
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1638858306098,1638858312057
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1638858312065,1638858320396
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1638858320404,1638858322151
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1638858322159,1638858323053
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1638858323061,1638858324014
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1638858324021,1638858324833
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1638858324840,1638858326855
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1638858326863,1638858328008
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1638858328015,1638858329562
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1638858329569,1638858330949
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_seeing,1638858330956,1638858332520
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_hearing,1638858332529,1638858333515
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_walking,1638858333522,1638858334559
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_remembering,1638858334569,1638858337860
