event,node,start,end
form start,,1638859152356,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1638859152357,1638859154006
question,/ameM9v8nctyy8MRHMJfRX7/consent,1638859154013,1638859155216
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1638859155223,1638859157435
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1638859157441,1638859162734
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1638859162740,1638859170182
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1638859170240,1638859172357
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1638859172367,1638859182151
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1638859182158,1638859209510
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1638859209517,1638859219839
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1638859219846,1638859238836
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1638859238842,1638859240041
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1638859240048,1638859251884
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1638859251890,1638859261132
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1638859261139,1638859286368
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1638859286375,1638859288046
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1638859288052,1638859305426
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1638859305434,1638859312082
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1638859312089,1638859313828
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1638859313835,1638859321957
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1638859321964,1638859322905
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1638859322912,1638859333723
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1638859333730,1638859335790
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1638859335797,1638859341374
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1638859341381,1638859353721
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1638859353728,1638859356998
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1638859357005,1638859363693
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1638859363699,1638859366899
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1638859366908,1638859380250
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1638859380257,1638859385474
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1638859385480,1638859387491
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1638859387499,1638859389225
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1638859389232,1638859390999
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1638859391006,1638859392591
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1638859392598,1638859395027
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1638859395034,1638859399095
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1638859399102,1638859408767
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1638859408774,1638859410765
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_seeing,1638859410772,1638859414552
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_hearing,1638859414560,1638859418140
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_walking,1638859418149,1638859422253
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_remembering,1638859422264,1638859425862
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_self_care,1638859425869,1638859434174
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_remembering,1638859434181,1638859435697
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/hhh_diff_remembering,1638859435706,1638859436905
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_self_care,1638859436914,1638859440273
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_communicating,1638859440283,1638859442992
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/heatlh_issue,1638859442999,1638859446076
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/current_status,1638859446085,1638859450812
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displaced_province,1638859450821,1638859460837
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/current_status,1638859460847,1638859462684
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/move_intention,1638859462696,1638859465986
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/event_affected,1638859465994,1638859467981
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/loss_family_member,1638859467988,1638859469339
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/event_affected,1638859469346,1638859472114
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/loss_family_member,1638859472122,1638859474601
question,/ameM9v8nctyy8MRHMJfRX7/assistance/assist_received,1638859474608,1638859476586
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/insuff_food,1638859476595,1638859483680
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/sold_asset,1638859483686,1638859486265
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/seek_employment,1638859486275,1638859489780
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/working,1638859489790,1638859495899
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/borrow,1638859495908,1638859500375
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/medical_attention,1638859500383,1638859509269
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/early_marry,1638859509276,1638859511554
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/hh_eat_note,1638859511562,1638859512993
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/cereal,1638859513001,1638859518973
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/pulse,1638859518979,1638859526963
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/vegetable,1638859526970,1638859540530
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/fruit,1638859540537,1638859542432
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/meat,1638859542439,1638859544280
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/dairy,1638859544287,1638859546608
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/sugar,1638859546615,1638859555969
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/oil,1638859555976,1638859569182
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/condiment,1638859569189,1638859572499
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/hh_had_to_note,1638859572506,1638859574651
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/less_food,1638859574658,1638859576656
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/borrow_food,1638859576664,1638859580013
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/limit_mealtime,1638859580020,1638859582246
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/restrict_consumption,1638859582253,1638859584205
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/reduce_meal,1638859584212,1638859586972
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/childs_health,1638859586978,1638859590303
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/shelter_type,1638859590310,1638859592443
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/shelter_resident,1638859592451,1638859595557
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/tenure_status,1638859595564,1638859599099
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/shelter_concern,1638859599107,1638859604228
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/nfi_need,1638859604235,1638859605437
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/shelter_concern,1638859605449,1638859609056
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/nfi_need,1638859609064,1638859620851
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/water_access,1638859620859,1638859623773
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/water_source,1638859623781,1638859628503
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/water_far_distance,1638859628510,1638859629471
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/water_source,1638859629478,1638859630341
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/water_far_distance,1638859630347,1638859631550
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/latrine_access,1638859631559,1638859638310
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/latrine_disability_friendly,1638859638318,1638859639608
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/handwashing_facilities,1638859639616,1638859642994
question,/ameM9v8nctyy8MRHMJfRX7/health/health_fac_2hours,1638859643000,1638859644887
question,/ameM9v8nctyy8MRHMJfRX7/health/health_barriers,1638859644897,1638859649579
question,/ameM9v8nctyy8MRHMJfRX7/economic_profile/debt_amount,1638859649587,1638859670030
question,/ameM9v8nctyy8MRHMJfRX7/economic_profile/debt_expenditure,1638859670037,1638859683682
question,/ameM9v8nctyy8MRHMJfRX7/economic_profile/adult_working,1638859683690,1638859688245
question,/ameM9v8nctyy8MRHMJfRX7/economic_profile/adult_working_days,1638859688252,1638859692668
question,/ameM9v8nctyy8MRHMJfRX7/protection/protection_question,1638859692675,1638859695264
question,/ameM9v8nctyy8MRHMJfRX7/protection/environmental_dangers,1638859695271,1638859700235
question,/ameM9v8nctyy8MRHMJfRX7/assistance_mod/assist_preference,1638859700244,1638859703357
question,/ameM9v8nctyy8MRHMJfRX7/assistance_mod/cash_safe_market,1638859703364,1638859705941
question,/ameM9v8nctyy8MRHMJfRX7/assistance_mod/feedback_preference,1638859705948,1638859710308
question,/ameM9v8nctyy8MRHMJfRX7/comment_box,1638859710315,1638859734455
question,/ameM9v8nctyy8MRHMJfRX7/assistance_mod/feedback_preference,1638859734462,1638859735370
