event,node,start,end
form start,,1638942068775,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1638942068776,1638942069270
question,/ameM9v8nctyy8MRHMJfRX7/consent,1638942069278,1638942070287
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1638942070295,1638942071560
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1638942071567,1638942075955
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1638942075963,1638942079924
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1638942079963,1638942082614
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1638942082626,1638942096936
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1638942096944,1638942245263
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1638942245272,1638942253427
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1638942253435,1638942254180
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1638942254189,1638942256101
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1638942256109,1638942258891
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1638942258898,1638942259718
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1638942259726,1638942267815
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1638942267824,1638942273823
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1638942273831,1638942277892
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1638942277898,1638942280140
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1638942280147,1638942292507
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1638942292514,1638942302868
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1638942302876,1638942304606
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1638942304614,1638942314408
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1638942314415,1638942316071
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/HHH_name,1638942316079,1638942326039
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/HHH_father_name,1638942326046,1638942332757
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hhh_gender,1638942332764,1638942336601
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/HHH_age,1638942336610,1638942338473
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1638942338480,1638942341072
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1638942341079,1638942387581
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1638942387590,1638942388859
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1638942388867,1638942394140
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1638942394148,1638942396697
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1638942396705,1638942398527
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1638942398535,1638942399981
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1638942399988,1638942401201
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1638942401209,1638942402212
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1638942402220,1638942403482
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1638942403489,1638942404485
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1638942404494,1638942406214
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_seeing,1638942406221,1638942412372
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/HHH_diff_seeing,1638942412378,1638942414085
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_hearing,1638942414092,1638942420370
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_walking,1638942420378,1638942423963
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/hhh_diff_walking,1638942423969,1638942425065
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_remembering,1638942425072,1638942431106
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/hhh_diff_remembering,1638942431114,1638942432292
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_self_care,1638942432301,1638942433880
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_communicating,1638942433889,1638942435093
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/heatlh_issue,1638942435100,1638942436212
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/current_status,1638942436220,1638942437991
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displaced_province,1638942438001,1638942451711
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displaced_district,1638942451741,1638942471264
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displacement_duration,1638942471275,1638942472643
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/move_intention,1638942472651,1638942473797
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/event_affected,1638942473804,1638942475092
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/loss_family_member,1638942475099,1638942477915
question,/ameM9v8nctyy8MRHMJfRX7/assistance/assist_received,1638942477925,1638942479445
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/insuff_food,1638942479453,1638942483250
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/sold_asset,1638942483258,1638942484779
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/seek_employment,1638942484786,1638942488622
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/working,1638942488629,1638942490711
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/borrow,1638942490719,1638942493643
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/medical_attention,1638942493652,1638942494485
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/borrow,1638942494492,1638942509194
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/medical_attention,1638942509204,1638942515562
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/early_marry,1638942515570,1638942518301
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/hh_eat_note,1638942518309,1638942519126
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/cereal,1638942519134,1638942522105
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/pulse,1638942522112,1638942533284
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/vegetable,1638942533292,1638942538440
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/fruit,1638942538447,1638942540094
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/meat,1638942540101,1638942541256
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/dairy,1638942541264,1638942542801
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/sugar,1638942542809,1638942553162
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/oil,1638942553170,1638942556003
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/condiment,1638942556010,1638942558157
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/hh_had_to_note,1638942558165,1638942559452
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/less_food,1638942559459,1638942560449
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/borrow_food,1638942560457,1638942561469
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/limit_mealtime,1638942561476,1638942564259
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/restrict_consumption,1638942564267,1638942566172
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/reduce_meal,1638942566179,1638942567376
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/shelter_type,1638942567383,1638942572270
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/shelter_resident,1638942572277,1638942574376
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/tenure_status,1638942574383,1638942576431
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/shelter_concern,1638942576438,1638942578804
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/nfi_need,1638942578813,1638942583292
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/water_access,1638942583299,1638942584963
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/water_source,1638942584969,1638942587587
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/water_far_distance,1638942587594,1638942597597
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/latrine_access,1638942597604,1638942619564
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/water_far_distance,1638942619572,1638942625062
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/latrine_access,1638942625070,1638942628405
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/handwashing_facilities,1638942628416,1638942631714
question,/ameM9v8nctyy8MRHMJfRX7/health/health_fac_2hours,1638942631725,1638942633218
question,/ameM9v8nctyy8MRHMJfRX7/health/health_barriers,1638942633227,1638942634714
question,/ameM9v8nctyy8MRHMJfRX7/economic_profile/debt_amount,1638942634722,1638942644356
question,/ameM9v8nctyy8MRHMJfRX7/economic_profile/debt_expenditure,1638942644364,1638942646955
question,/ameM9v8nctyy8MRHMJfRX7/economic_profile/adult_working,1638942646964,1638942649487
question,/ameM9v8nctyy8MRHMJfRX7/economic_profile/adult_working_days,1638942649493,1638942651994
question,/ameM9v8nctyy8MRHMJfRX7/protection/protection_question,1638942652003,1638942654199
question,/ameM9v8nctyy8MRHMJfRX7/economic_profile/adult_working_days,1638942654207,1638942655855
question,/ameM9v8nctyy8MRHMJfRX7/protection/protection_question,1638942655862,1638942658603
question,/ameM9v8nctyy8MRHMJfRX7/protection/environmental_dangers,1638942658611,1638942662781
question,/ameM9v8nctyy8MRHMJfRX7/assistance_mod/assist_preference,1638942662790,1638942664494
question,/ameM9v8nctyy8MRHMJfRX7/assistance_mod/cash_safe_market,1638942664502,1638942666090
question,/ameM9v8nctyy8MRHMJfRX7/assistance_mod/feedback_preference,1638942666097,1638942667276
question,/ameM9v8nctyy8MRHMJfRX7/comment_box,1638942667285,1638942669298
end screen,,1638942669305,1638943376760
form save,,1638943376944,
form exit,,1638943376944,
form finalize,,1638943376944,
form resume,,1638961898258,
jump,,1638961898282,1638961944806
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1638961944837,1638961946764
form exit,,1638961946764,

