event,node,start,end
form start,,1639474261230,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1639474261233,1639474264789
question,/ameM9v8nctyy8MRHMJfRX7/consent,1639474264852,1639474267368
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1639474267378,1639474269630
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1639474269638,1639474278958
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1639474278981,1639474287029
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1639474287160,1639474289027
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1639474289103,1639474293396
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1639474293456,1639474301042
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1639474301092,1639474357797
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1639474357814,1639474412839
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1639474412866,1639474417448
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1639474417458,1639474426372
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1639474426386,1639474427755
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1639474427759,1639474448210
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1639474448230,1639474464657
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1639474464669,1639474495366
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1639474495396,1639474497616
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1639474497625,1639474511729
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1639474511737,1639474521678
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1639474521684,1639474524431
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1639474524435,1639474537426
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1639474537435,1639474541425
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1639474541431,1639474545967
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639474545975,1639474574381
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639474574400,1639474586799
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639474586824,1639474588932
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639474588947,1639474591468
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639474591479,1639474603778
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1639474603789,1639474635341
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1639474635363,1639474637740
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1639474637745,1639474638646
