event,node,start,end
form start,,1639378246727,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1639378246728,1639378247423
question,/ameM9v8nctyy8MRHMJfRX7/consent,1639378247431,1639378248447
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1639378248455,1639378249787
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1639378249796,1639378253163
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1639378253171,1639378256355
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1639378256393,1639378258093
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1639378258104,1639378266574
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1639378266581,1639378276952
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1639378276959,1639378278842
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1639378278849,1639378281907
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1639378281915,1639378282735
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1639378282741,1639378286378
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1639378286385,1639378290138
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1639378290145,1639378305630
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1639378305638,1639378306867
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1639378306875,1639378323437
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1639378323445,1639378332143
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1639378332150,1639378334098
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1639378334107,1639378345011
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1639378345019,1639378346307
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1639378346315,1639378406402
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639378406411,1639378416263
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639378416271,1639378418201
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639378418208,1639378419805
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639378419812,1639378425587
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639378425594,1639378427342
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1639378427350,1639378432063
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1639378432071,1639378434294
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1639378434302,1639378435989
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1639378435997,1639378436433
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1639378436441,1639378437620
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639378437628,1639378439007
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1639378439014,1639378439483
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1639378439492,1639378440402
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1639378440410,1639378449853
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1639378449860,1639378450830
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1639378450838,1639378451766
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1639378451774,1639378454180
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1639378454188,1639378455258
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/total_mem_confirm,1639378455265,1639378463079
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1639378463087,1639378463631
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1639378463639,1639378465895
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1639378465902,1639378466792
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1639378466804,1639378467391
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1639378467399,1639378467993
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1639378468001,1639378469606
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1639378469613,1639378473023
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639378473031,1639378473943
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639378473950,1639378474995
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639378475003,1639378475973
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639378475980,1639378477085
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639378477092,1639378477945
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1639378477953,1639378480033
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639378480043,1639378480627
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639378480635,1639378481497
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639378481505,1639378483728
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639378483735,1639378485774
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639378485782,1639378486803
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1639378486811,1639378488005
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1639378488013,1639378489008
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1639378489015,1639378491715
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1639378491724,1639378492334
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1639378492341,1639378494248
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1639378494255,1639378496085
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1639378496093,1639378496611
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_seeing,1639378496619,1639378499427
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_hearing,1639378499435,1639378502369
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_walking,1639378502381,1639378505703
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_remembering,1639378505711,1639378512797
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_self_care,1639378512804,1639378514376
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_communicating,1639378514384,1639378515587
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/heatlh_issue,1639378515597,1639378516674
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/current_status,1639378516682,1639378519540
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displaced_province,1639378519548,1639378525506
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displaced_district,1639378525562,1639378527879
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displacement_duration,1639378527893,1639378529040
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/move_intention,1639378529048,1639378530837
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/event_affected,1639378530843,1639378532208
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/loss_family_member,1639378532214,1639378533862
question,/ameM9v8nctyy8MRHMJfRX7/assistance/assist_received,1639378533868,1639378534898
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/insuff_food,1639378534905,1639378536473
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/sold_asset,1639378536480,1639378537533
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/seek_employment,1639378537541,1639378540734
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/working,1639378540740,1639378542404
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/borrow,1639378542411,1639378546917
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/medical_attention,1639378546923,1639378548848
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/early_marry,1639378548856,1639378550382
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/hh_eat_note,1639378550392,1639378551117
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/cereal,1639378551124,1639378552473
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/pulse,1639378552481,1639378555649
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/vegetable,1639378555656,1639378557746
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/fruit,1639378557754,1639378559417
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/meat,1639378559424,1639378562400
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/dairy,1639378562407,1639378568483
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/sugar,1639378568491,1639378570663
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/oil,1639378570671,1639378572677
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/condiment,1639378572684,1639378574547
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/hh_had_to_note,1639378574554,1639378575833
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/less_food,1639378575842,1639378577081
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/borrow_food,1639378577090,1639378579103
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/limit_mealtime,1639378579110,1639378580306
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/restrict_consumption,1639378580313,1639378581334
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/reduce_meal,1639378581342,1639378582303
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/childs_health,1639378582311,1639378585543
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/shelter_type,1639378585551,1639378587732
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/shelter_resident,1639378587741,1639378590423
