event,node,start,end
form start,,1638941843970,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1638941843972,1638941851075
question,/ameM9v8nctyy8MRHMJfRX7/consent,1638941851090,1638941858917
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1638941858928,1638941877389
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1638941877398,1638941885672
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1638941885683,1638941890634
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1638941890733,1638941894347
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1638941894376,1638941920289
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1638941920298,1638941935110
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1638941935119,1638941938201
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1638941938213,1638941944719
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1638941944729,1638941945936
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1638941945945,1638941956915
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1638941956931,1638941966242
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1638941966251,1638941982182
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1638941982188,1638941983781
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1638941983787,1638942021899
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1638942021908,1638942062537
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1638942062546,1638942064572
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1638942064584,1638942089793
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1638942089802,1638942095166
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1638942095174,1638942098444
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1638942098453,1638942115313
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1638942115322,1638942125556
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1638942125565,1638942133372
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1638942133381,1638942138877
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1638942138888,1638942166555
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1638942166563,1638942184081
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1638942184089,1638942186368
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1638942186376,1638942188619
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1638942188626,1638942190829
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1638942190837,1638942192164
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1638942192173,1638942201645
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1638942201653,1638942205082
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_seeing,1638942205090,1638942206350
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1638942206358,1638942206782
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1638942206792,1638942207300
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1638942207308,1638942208052
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1638942208060,1638942208745
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1638942208754,1638942209620
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1638942209628,1638942210471
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1638942210479,1638942211714
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1638942211722,1638942212890
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1638942212898,1638942213774
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1638942213788,1638942214541
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1638942214549,1638942215384
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1638942215392,1638942216185
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1638942216192,1638942217035
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1638942217042,1638942217594
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1638942217604,1638942218034
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1638942218048,1638942218762
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1638942218771,1638942219273
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1638942219289,1638942219807
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1638942219823,1638942220263
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1638942220273,1638942220722
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1638942220729,1638942221123
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1638942221132,1638942221574
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1638942221583,1638942222082
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1638942222090,1638942222532
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1638942222540,1638942223433
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1638942223440,1638942224417
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1638942224424,1638942225426
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_seeing,1638942225434,1638942250748
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/HHH_diff_seeing,1638942250757,1638942252867
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_hearing,1638942252875,1638942261504
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_walking,1638942261513,1638942273622
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_remembering,1638942273630,1638942281013
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_self_care,1638942281023,1638942283274
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_communicating,1638942283284,1638942285801
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/heatlh_issue,1638942285809,1638942300102
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/current_status,1638942300109,1638942321631
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displaced_province,1638942321639,1638942338866
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displaced_district,1638942338891,1638942345831
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displacement_duration,1638942345862,1638942352527
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/move_intention,1638942352536,1638942357882
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displacement_duration,1638942357891,1638942379812
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/move_intention,1638942379820,1638942386456
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/event_affected,1638942386464,1638942397833
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/loss_family_member,1638942397841,1638942398834
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/event_affected,1638942398842,1638942409331
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/loss_family_member,1638942409337,1638942415911
question,/ameM9v8nctyy8MRHMJfRX7/assistance/assist_received,1638942415918,1638942421326
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/insuff_food,1638942421334,1638942443921
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/sold_asset,1638942443928,1638942460863
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/seek_employment,1638942460872,1638942468919
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/working,1638942468926,1638942476625
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/borrow,1638942476632,1638942483193
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/medical_attention,1638942483200,1638942489033
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/early_marry,1638942489040,1638942527647
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/hh_eat_note,1638942527655,1638942534374
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/cereal,1638942534381,1638942552339
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/pulse,1638942552346,1638942556418
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/vegetable,1638942556426,1638942567232
