event,node,start,end
form start,,1638354973411,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1638354973413,1638354985922
question,/ameM9v8nctyy8MRHMJfRX7/consent,1638354985928,1638354987402
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1638354987414,1638354990080
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1638354990085,1638354999187
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1638354999195,1638355004133
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1638355004232,1638355007418
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1638355007494,1638355047237
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1638355047248,1638355107374
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1638355107385,1638355114717
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1638355114725,1638355119201
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1638355119206,1638355143364
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1638355143373,1638355145180
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1638355145188,1638355146263
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1638355146272,1638355169587
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1638355169593,1638355170738
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1638355170744,1638355171897
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1638355171907,1638355172719
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1638355172724,1638355282013
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1638355282021,1638355294939
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1638355294945,1638355304445
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1638355304453,1638355306153
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1638355306159,1638355323473
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1638355323479,1638355338539
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1638355338544,1638355340202
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1638355340210,1638355356122
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1638355356128,1638355358333
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1638355358337,1638355368615
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1638355368621,1638355370870
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1638355370879,1638355373562
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1638355373569,1638355390695
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1638355390701,1638355392554
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1638355392560,1638355397595
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1638355397601,1638355402552
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1638355402559,1638355417672
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1638355417678,1638355418470
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1638355418475,1638355419215
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1638355419222,1638355420013
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1638355420019,1638355420921
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1638355420927,1638355421578
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1638355421585,1638355422585
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1638355422592,1638355423668
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1638355423675,1638355429286
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1638355429292,1638355439217
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1638355439223,1638355441122
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1638355441128,1638355442730
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1638355442735,1638355445088
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_seeing,1638355445100,1638355457152
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_hearing,1638355457155,1638355458213
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_walking,1638355458222,1638355459329
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_remembering,1638355459336,1638355460425
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_self_care,1638355460431,1638355461518
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_communicating,1638355461523,1638355462678
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/heatlh_issue,1638355462683,1638355464960
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/current_status,1638355464966,1638355477915
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/move_intention,1638355477924,1638355479491
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/event_affected,1638355479497,1638355483142
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/loss_family_member,1638355483148,1638355486157
question,/ameM9v8nctyy8MRHMJfRX7/assistance/assist_received,1638355486162,1638355488137
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/insuff_food,1638355488144,1638355490595
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/hh_eat_note,1638355490602,1638355491460
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/cereal,1638355491465,1638355496638
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/pulse,1638355496656,1638355504636
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/vegetable,1638355504641,1638355514753
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/fruit,1638355514764,1638355516579
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/meat,1638355516588,1638355520162
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/dairy,1638355520172,1638355521934
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/sugar,1638355521938,1638355532365
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/oil,1638355532371,1638355533170
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/sugar,1638355533175,1638355535571
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/oil,1638355535577,1638355538172
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/condiment,1638355538178,1638355543950
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/hh_had_to_note,1638355543955,1638355544880
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/less_food,1638355544885,1638355547366
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/borrow_food,1638355547375,1638355560913
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/limit_mealtime,1638355560922,1638355564017
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/restrict_consumption,1638355564020,1638355566888
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/reduce_meal,1638355566894,1638355573570
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/shelter_type,1638355573579,1638355576417
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/shelter_resident,1638355576423,1638355578659
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/tenure_status,1638355578666,1638355582353
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/shelter_concern,1638355582359,1638355592943
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/nfi_need,1638355592950,1638355595267
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/shelter_concern,1638355595273,1638355597820
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/tenure_status,1638355597826,1638355599944
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/shelter_resident,1638355599955,1638355601378
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/tenure_status,1638355601389,1638355611063
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/shelter_concern,1638355611070,1638355626514
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/shelter_concern_o,1638355626520,1638355673120
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/nfi_need,1638355673127,1638355684623
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/water_access,1638355684631,1638355686166
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/water_source,1638355686172,1638355694318
