event,node,start,end
form start,,1638867416155,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1638867416156,1638867429021
question,/ameM9v8nctyy8MRHMJfRX7/consent,1638867429028,1638867432930
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1638867432936,1638867492902
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1638867492909,1638867502300
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1638867502306,1638867509054
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1638867509116,1638867511898
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1638867511906,1638867577012
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1638867577019,1638867605711
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1638867605718,1638867609174
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1638867609181,1638867626946
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1638867626953,1638867628166
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1638867628173,1638867654535
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1638867654542,1638867655641
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1638867655647,1638867663376
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1638867663384,1638867691444
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1638867691451,1638867695127
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1638867695134,1638867716710
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1638867716717,1638867722515
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1638867722522,1638867724143
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1638867724150,1638867737086
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1638867737092,1638867756622
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1638867756629,1638867758602
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1638867758610,1638867769749
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1638867769756,1638867779503
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1638867779512,1638867830819
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1638867830827,1638867853218
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1638867853225,1638867857558
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1638867857565,1638867873895
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1638867873902,1638867881651
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1638867881657,1638867902964
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1638867902972,1638867913317
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1638867913325,1638867917871
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1638867917877,1638867919859
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1638867919865,1638867921655
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1638867921662,1638867923033
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1638867923040,1638867925006
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_seeing,1638867925013,1638867932767
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_hearing,1638867932774,1638867938083
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_walking,1638867938092,1638867964318
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/hhh_diff_walking,1638867964328,1638867966266
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_remembering,1638867966275,1638867984873
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_self_care,1638867984881,1638867988656
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_communicating,1638867988665,1638867998894
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/hhh_diff_communicating,1638867998903,1638868001191
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/heatlh_issue,1638868001203,1638868011820
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/current_status,1638868011829,1638868033661
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displaced_province,1638868033669,1638868038612
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displaced_district,1638868038656,1638868042763
