event,node,start,end
form start,,1638338630001,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1638338630003,1638338633470
question,/ameM9v8nctyy8MRHMJfRX7/consent,1638338633490,1638338643695
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1638338643706,1638338663123
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1638338663135,1638338696955
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1638338696967,1638338703282
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1638338703312,1638338711534
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1638338711561,1638338723091
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1638338723103,1638338741471
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1638338741483,1638338745449
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1638338745462,1638338752449
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1638338752462,1638338753499
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1638338753510,1638338767654
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1638338767666,1638338781933
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1638338781945,1638338790652
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1638338790664,1638338792570
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1638338792581,1638338810051
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1638338810064,1638338817260
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1638338817272,1638338819419
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1638338819432,1638338838088
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1638338838099,1638338842031
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1638338842044,1638338846724
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1638338846736,1638338853480
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1638338853492,1638338863916
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1638338863928,1638338870667
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1638338870679,1638338873876
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1638338873887,1638338891741
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1638338891753,1638338907805
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1638338907819,1638338911340
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1638338911350,1638338913165
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1638338913177,1638338918633
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1638338918646,1638338920276
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1638338920289,1638338929689
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_seeing,1638338929703,1638338939289
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_hearing,1638338939301,1638338942857
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_walking,1638338942872,1638338950388
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/hhh_diff_walking,1638338950400,1638338956440
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_remembering,1638338956452,1638338961715
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_self_care,1638338961727,1638338965584
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_remembering,1638338965595,1638338973337
