event,node,start,end
form start,,1639466502780,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1639466502782,1639466505728
question,/ameM9v8nctyy8MRHMJfRX7/consent,1639466505736,1639466506917
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1639466506923,1639466509413
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1639466509422,1639466518992
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1639466519000,1639466522724
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1639466522768,1639466531095
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1639466531120,1639466538749
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1639466538757,1639466592091
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1639466592100,1639466594828
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1639466594837,1639466607930
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1639466607939,1639466608863
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1639466608873,1639466642245
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1639466642254,1639466659707
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1639466659716,1639466669604
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1639466669612,1639466671197
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1639466671206,1639466672529
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1639466672538,1639466673445
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1639466673457,1639466678717
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1639466678725,1639466680117
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1639466680125,1639466701811
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1639466701820,1639466710812
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1639466710820,1639466712294
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1639466712304,1639466737672
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1639466737679,1639466738947
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1639466738955,1639466743350
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639466743358,1639466746252
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639466746260,1639466751506
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639466751514,1639466752907
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639466752915,1639466756030
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639466756038,1639466758595
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1639466758603,1639466762126
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1639466762134,1639466771405
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1639466771413,1639466774675
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1639466774684,1639466776711
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1639466776720,1639466778498
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_seeing,1639466778506,1639466784767
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/HHH_diff_seeing,1639466784777,1639466787709
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_hearing,1639466787718,1639466793728
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/hhh_diff_hearing,1639466793738,1639466795246
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_walking,1639466795257,1639466797626
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/hhh_diff_walking,1639466797636,1639466798811
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_remembering,1639466798820,1639466807649
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/hhh_diff_remembering,1639466807660,1639466808986
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_self_care,1639466808995,1639466813076
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/hhh_diff_self_care,1639466813086,1639466814557
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_communicating,1639466814566,1639466820072
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/hhh_diff_communicating,1639466820080,1639466822621
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/heatlh_issue,1639466822629,1639466824608
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/current_status,1639466824620,1639466825270
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/heatlh_issue,1639466825280,1639466833449
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/current_status,1639466833461,1639466839613
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/move_intention,1639466839624,1639466842105
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/event_affected,1639466842116,1639466849526
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/loss_family_member,1639466849537,1639466855943
question,/ameM9v8nctyy8MRHMJfRX7/assistance/assist_received,1639466855954,1639466860190
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/insuff_food,1639466860201,1639466867948
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/sold_asset,1639466867959,1639466872326
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/seek_employment,1639466872335,1639466877896
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/working,1639466877907,1639466893987
