event,node,start,end
form start,,1639478097076,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1639478097077,1639478097910
question,/ameM9v8nctyy8MRHMJfRX7/consent,1639478097917,1639478099885
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1639478099891,1639478103493
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1639478103504,1639478116510
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1639478116521,1639478120378
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1639478120406,1639478123632
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1639478123647,1639478132874
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1639478132884,1639478182208
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1639478182218,1639478186996
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1639478187007,1639478198499
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1639478198510,1639478199414
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1639478199424,1639478207350
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1639478207362,1639478212569
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1639478212580,1639478222416
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1639478222427,1639478224788
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1639478224801,1639478238796
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1639478238807,1639478242742
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1639478242753,1639478244557
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1639478244569,1639478254085
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1639478254099,1639478256115
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1639478256126,1639478258361
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639478258373,1639478261316
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639478261340,1639478262428
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639478262439,1639478265455
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639478265469,1639478274629
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639478274641,1639478286626
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639478286637,1639478296221
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639478296229,1639478298192
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639478298202,1639478299853
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639478299865,1639478306089
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1639478306099,1639478316303
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1639478316313,1639478317822
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1639478317833,1639478319120
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1639478319131,1639478320424
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1639478320437,1639478321663
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1639478321675,1639478323373
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1639478323384,1639478324819
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/total_mem_confirm,1639478324832,1639478326456
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1639478326468,1639478327037
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1639478327046,1639478327391
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1639478327404,1639478327839
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1639478327855,1639478328242
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1639478328255,1639478328904
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1639478328915,1639478329559
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1639478329567,1639478330128
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639478330138,1639478331342
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639478331354,1639478333127
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639478333140,1639478335896
