event,node,start,end
form start,,1638338063699,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1638338063700,1638338064617
question,/ameM9v8nctyy8MRHMJfRX7/consent,1638338064638,1638338066384
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1638338066394,1638338068283
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1638338068292,1638338088420
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1638338088425,1638338093609
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1638338093709,1638338097166
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1638338097239,1638338104001
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1638338104006,1638338357791
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1638338357796,1638338360673
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1638338360679,1638338364448
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1638338364454,1638338365257
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1638338365263,1638338394004
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1638338394009,1638338420795
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1638338420802,1638338428884
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1638338428889,1638338430482
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1638338430489,1638338446631
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1638338446641,1638338450771
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1638338450777,1638338452980
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1638338452986,1638338464219
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1638338464227,1638338466636
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1638338466644,1638338468155
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1638338468161,1638338477538
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1638338477548,1638338499968
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1638338499975,1638338522419
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1638338522424,1638338527253
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1638338527262,1638338532946
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1638338532951,1638338536118
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1638338536124,1638338539204
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1638338539207,1638338540268
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1638338540275,1638338541176
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1638338541182,1638338542380
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1638338542388,1638338548555
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1638338548563,1638338553180
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1638338553187,1638338559273
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1638338559280,1638338561046
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1638338561052,1638338563138
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1638338563143,1638338568202
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1638338568207,1638338569079
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1638338569089,1638338571739
