event,node,start,end
form start,,1639297571618,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1639297571620,1639297572840
question,/ameM9v8nctyy8MRHMJfRX7/consent,1639297572848,1639297574658
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1639297574666,1639297576869
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1639297576876,1639297582066
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1639297582073,1639297586194
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1639297586249,1639297590565
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1639297590591,1639297623639
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1639297623647,1639297638402
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1639297638411,1639297641601
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1639297641609,1639297648177
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1639297648185,1639297649362
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1639297649372,1639297679634
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1639297679643,1639297696146
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1639297696152,1639297702419
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1639297702427,1639297705346
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1639297705355,1639297749101
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1639297749110,1639297752686
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1639297752693,1639297763905
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1639297763914,1639297787372
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1639297787380,1639297789407
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1639297789414,1639297822538
