event,node,start,end
form start,,1638947351887,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1638947351888,1638947352607
question,/ameM9v8nctyy8MRHMJfRX7/consent,1638947352614,1638947353679
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1638947353685,1638947355164
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1638947355172,1638947358372
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1638947358380,1638947363428
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1638947363489,1638947365659
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1638947365691,1638947374082
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1638947374090,1638947412226
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1638947412235,1638947414399
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1638947414409,1638947418627
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1638947418634,1638947419429
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1638947419436,1638947430759
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1638947430768,1638947439550
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1638947439558,1638947463240
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1638947463248,1638947465196
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1638947465209,1638947480628
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1638947480636,1638947498610
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1638947498618,1638947499947
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1638947499956,1638947522608
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1638947522616,1638947524070
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1638947524080,1638947529585
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1638947529593,1638947553525
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1638947553535,1638947555380
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1638947555389,1638947560326
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1638947560334,1638947566293
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1638947566301,1638947567705
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1638947567713,1638947568983
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1638947568992,1638947574598
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1638947574607,1638947581074
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1638947581083,1638947583689
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1638947583698,1638947584643
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1638947584659,1638947589572
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1638947589581,1638947590926
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1638947590938,1638947592221
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1638947592228,1638947593341
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1638947593349,1638947595103
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1638947595111,1638947596323
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_seeing,1638947596332,1638947624023
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_hearing,1638947624032,1638947628034
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_seeing,1638947628049,1638947655984
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/HHH_diff_seeing,1638947655993,1638947657354
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_hearing,1638947657363,1638947669228
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_walking,1638947669236,1638947670615
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_remembering,1638947670624,1638947672036
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_self_care,1638947672044,1638947673431
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_communicating,1638947673444,1638947675362
