event,node,start,end
form start,,1639462429480,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1639462429482,1639462430162
question,/ameM9v8nctyy8MRHMJfRX7/consent,1639462430172,1639462431578
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1639462431591,1639462433269
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1639462433279,1639462450838
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1639462450846,1639462455131
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1639462455183,1639462459640
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1639462459674,1639462480217
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1639462480225,1639462806689
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1639462806710,1639462809398
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1639462809408,1639462819566
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1639462819576,1639462820166
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1639462820178,1639462834396
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1639462834406,1639462843416
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1639462843426,1639462882464
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1639462882475,1639462884084
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1639462884094,1639462903375
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1639462903386,1639462911727
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1639462911735,1639462913680
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1639462913688,1639462931969
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1639462931976,1639462933756
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1639462933764,1639462946533
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639462946542,1639462958860
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639462958868,1639462960914
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639462960923,1639462984296
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639462984306,1639462992831
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639462992841,1639462999245
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1639462999253,1639463005391
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1639463005406,1639463010084
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1639463010092,1639463012339
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1639463012347,1639463014360
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1639463014368,1639463016214
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1639463016222,1639463018117
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_seeing,1639463018125,1639463020840
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_hearing,1639463020848,1639463021975
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_walking,1639463021985,1639463032765
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_remembering,1639463032776,1639463034051
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_self_care,1639463034060,1639463035404
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_remembering,1639463035412,1639463038560
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_self_care,1639463038569,1639463040130
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_communicating,1639463040139,1639463041617
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/heatlh_issue,1639463041625,1639463067772
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/current_status,1639463067782,1639463070878
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displaced_province,1639463070888,1639463075337
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displaced_district,1639463075378,1639463078828
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displacement_duration,1639463078858,1639463091104
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/move_intention,1639463091114,1639463096015
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/event_affected,1639463096022,1639463098871
