event,node,start,end
form start,,1639479767163,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1639479767164,1639479772418
question,/ameM9v8nctyy8MRHMJfRX7/consent,1639479772428,1639479775640
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1639479775650,1639479777844
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1639479777857,1639479796516
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1639479796527,1639479800527
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1639479800565,1639479805568
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1639479805582,1639479816790
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1639479816803,1639479826224
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1639479826235,1639479829110
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1639479829122,1639479834912
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1639479834923,1639479836404
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1639479836413,1639479848731
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1639479848743,1639479861819
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1639479861831,1639479880037
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1639479880047,1639479883152
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1639479883160,1639480018010
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1639480018022,1639480023309
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1639480023322,1639480025598
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1639480025634,1639480068091
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1639480068103,1639480073708
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1639480073719,1639480080428
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639480080440,1639480097765
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639480097777,1639480100351
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639480100369,1639480104862
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639480104878,1639480107901
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639480107915,1639480109661
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1639480109673,1639480111577
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1639480111590,1639480113917
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1639480113933,1639480116537
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1639480116556,1639480119180
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1639480119189,1639480120702
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1639480120714,1639480125337
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1639480125350,1639480132303
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_seeing,1639480132314,1639480140525
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_hearing,1639480140536,1639480147814
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_walking,1639480147826,1639480152231
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_remembering,1639480152242,1639480159304
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_self_care,1639480159319,1639480160950
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_remembering,1639480160961,1639480167529
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/hhh_diff_remembering,1639480167540,1639480170454
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_self_care,1639480170466,1639480174664
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_communicating,1639480174674,1639480180541
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/heatlh_issue,1639480180550,1639480192197
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/current_status,1639480192215,1639480195438
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/move_intention,1639480195449,1639480202624
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/event_affected,1639480202633,1639480208615
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/loss_family_member,1639480208624,1639480218186
question,/ameM9v8nctyy8MRHMJfRX7/assistance/assist_received,1639480218199,1639480222336
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/insuff_food,1639480222346,1639480278673
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/sold_asset,1639480278685,1639480292622
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/seek_employment,1639480292636,1639480296461
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/working,1639480296473,1639480299862
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/borrow,1639480299873,1639480310415
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/medical_attention,1639480310428,1639480322852
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/early_marry,1639480322864,1639480327619
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/hh_eat_note,1639480327632,1639480330619
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/cereal,1639480330629,1639480340542
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/pulse,1639480340553,1639480345185
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/vegetable,1639480345195,1639480358872
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/fruit,1639480358883,1639480362766
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/meat,1639480362778,1639480367244
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/dairy,1639480367256,1639480372746
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/sugar,1639480372759,1639480380197
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/oil,1639480380209,1639480406029
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/condiment,1639480406041,1639480409545
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/hh_had_to_note,1639480409559,1639480414572
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/less_food,1639480414583,1639480437204
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/borrow_food,1639480437217,1639480453686
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/limit_mealtime,1639480453697,1639480456478
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/restrict_consumption,1639480456491,1639480469866
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/reduce_meal,1639480469879,1639480507425
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/childs_health,1639480507434,1639480519810
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/shelter_type,1639480519819,1639480524904
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/shelter_resident,1639480524914,1639480527737
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/tenure_status,1639480527748,1639480535166
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/shelter_concern,1639480535175,1639480549188
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/nfi_need,1639480549200,1639480561390
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/water_access,1639480561402,1639480567892
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/water_source,1639480567901,1639480574401
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/water_far_distance,1639480574411,1639480578762
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/latrine_access,1639480578772,1639480605241
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/latrine_disability_friendly,1639480605262,1639480629778
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/handwashing_facilities,1639480629789,1639480646644
question,/ameM9v8nctyy8MRHMJfRX7/health/health_fac_2hours,1639480646653,1639480653930
question,/ameM9v8nctyy8MRHMJfRX7/health/health_barriers,1639480653940,1639480682204
question,/ameM9v8nctyy8MRHMJfRX7/economic_profile/debt_amount,1639480682220,1639480707919
question,/ameM9v8nctyy8MRHMJfRX7/economic_profile/debt_expenditure,1639480707929,1639480723639
question,/ameM9v8nctyy8MRHMJfRX7/economic_profile/adult_working,1639480723649,1639480727385
question,/ameM9v8nctyy8MRHMJfRX7/economic_profile/adult_working_days,1639480727395,1639480742976
question,/ameM9v8nctyy8MRHMJfRX7/protection/protection_question,1639480742988,1639480753378
question,/ameM9v8nctyy8MRHMJfRX7/protection/environmental_dangers,1639480753387,1639480778937
question,/ameM9v8nctyy8MRHMJfRX7/assistance_mod/assist_preference,1639480778950,1639480814828
question,/ameM9v8nctyy8MRHMJfRX7/assistance_mod/cash_safe_market,1639480814838,1639480821108
question,/ameM9v8nctyy8MRHMJfRX7/assistance_mod/feedback_preference,1639480821119,1639480826108
question,/ameM9v8nctyy8MRHMJfRX7/comment_box,1639480826119,1639480862650
end screen,,1639480862660,1639481277111
form save,,1639481277346,
form exit,,1639481277346,
form finalize,,1639481277346,

