event,node,start,end
form start,,1639376342514,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1639376342516,1639376346362
question,/ameM9v8nctyy8MRHMJfRX7/consent,1639376346372,1639376347335
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1639376347343,1639376364108
question,/ameM9v8nctyy8MRHMJfRX7/consent,1639376364118,1639376371131
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1639376371146,1639376373296
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1639376373306,1639376381402
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1639376381413,1639376386397
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1639376386440,1639376398770
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1639376398787,1639376431382
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1639376431393,1639376645696
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1639376645707,1639376652911
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1639376652922,1639376663335
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1639376663347,1639376664942
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1639376664951,1639376672647
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1639376672656,1639376685979
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1639376685989,1639376692983
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1639376692993,1639376696431
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1639376696441,1639376706951
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1639376706964,1639376713170
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1639376713180,1639376718144
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1639376718156,1639376727768
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1639376727779,1639376732776
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1639376732785,1639376736852
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639376736862,1639376742694
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639376742704,1639376744943
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639376744955,1639376758184
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639376758195,1639376760417
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639376760429,1639376761976
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639376761988,1639376764621
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639376764633,1639376768144
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1639376768158,1639376776780
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1639376776790,1639376780717
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1639376780728,1639376784728
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1639376784738,1639376789102
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1639376789112,1639376791250
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1639376791260,1639376794717
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1639376794727,1639376797801
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/total_mem_confirm,1639376797812,1639376801083
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1639376801093,1639376802235
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1639376802245,1639376803662
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1639376803674,1639376804940
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1639376804952,1639376806109
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1639376806122,1639376807239
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1639376807251,1639376809193
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1639376809206,1639376813249
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1639376813259,1639376813733
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1639376813742,1639376814152
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1639376814161,1639376814539
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1639376814547,1639376814917
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1639376814929,1639376815331
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1639376815340,1639376815803
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_seeing,1639376815815,1639376831415
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_hearing,1639376831426,1639376840115
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/hhh_diff_hearing,1639376840123,1639376845964
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_walking,1639376845977,1639376857041
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_remembering,1639376857055,1639376868168
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/hhh_diff_remembering,1639376868179,1639376871164
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_self_care,1639376871176,1639376880839
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_communicating,1639376880850,1639376892911
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/hhh_diff_communicating,1639376892924,1639376895104
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/heatlh_issue,1639376895116,1639376901873
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/current_status,1639376901884,1639376906565
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displaced_province,1639376906576,1639376913610
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displaced_district,1639376913634,1639376918503
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displacement_duration,1639376918515,1639376925014
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/move_intention,1639376925026,1639376935161
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/event_affected,1639376935171,1639376940688
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/loss_family_member,1639376940698,1639376945458
question,/ameM9v8nctyy8MRHMJfRX7/assistance/assist_received,1639376945468,1639376948776
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/insuff_food,1639376948786,1639376953344
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/sold_asset,1639376953356,1639376962309
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/seek_employment,1639376962320,1639376966012
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/working,1639376966022,1639376970032
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/borrow,1639376970045,1639376973628
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/medical_attention,1639376973639,1639376984710
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/early_marry,1639376984721,1639376989088
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/hh_eat_note,1639376989100,1639376990389
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/cereal,1639376990399,1639377000770
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/pulse,1639377000780,1639377003931
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/vegetable,1639377003941,1639377012361
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/fruit,1639377012372,1639377018528
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/meat,1639377018540,1639377021116
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/dairy,1639377021126,1639377025422
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/sugar,1639377025432,1639377027714
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/dairy,1639377027723,1639377028549
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/sugar,1639377028560,1639377032729
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/oil,1639377032740,1639377040914
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/condiment,1639377040925,1639377042983
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/hh_had_to_note,1639377042993,1639377044300
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/less_food,1639377044311,1639377051500
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/borrow_food,1639377051510,1639377058643
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/limit_mealtime,1639377058653,1639377061391
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/restrict_consumption,1639377061402,1639377070910
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/reduce_meal,1639377070921,1639377073490
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/childs_health,1639377073501,1639377090029
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/shelter_type,1639377090040,1639377100670
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/shelter_resident,1639377100683,1639377103447
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/tenure_status,1639377103460,1639377105525
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/shelter_resident,1639377105538,1639377120903
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/tenure_status,1639377120913,1639377127113
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/shelter_concern,1639377127123,1639377141808
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/nfi_need,1639377141818,1639377169442
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/water_access,1639377169452,1639377178503
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/water_source,1639377178513,1639377181471
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/water_far_distance,1639377181485,1639377183835
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/latrine_access,1639377183848,1639377189510
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/latrine_disability_friendly,1639377189522,1639377192122
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/handwashing_facilities,1639377192136,1639377195004
question,/ameM9v8nctyy8MRHMJfRX7/health/health_fac_2hours,1639377195016,1639377200521
question,/ameM9v8nctyy8MRHMJfRX7/health/health_barriers,1639377200533,1639377210790
question,/ameM9v8nctyy8MRHMJfRX7/economic_profile/debt_amount,1639377210800,1639377223939
question,/ameM9v8nctyy8MRHMJfRX7/economic_profile/debt_expenditure,1639377223951,1639377232880
question,/ameM9v8nctyy8MRHMJfRX7/economic_profile/adult_working,1639377232895,1639377239701
question,/ameM9v8nctyy8MRHMJfRX7/economic_profile/adult_working_days,1639377239710,1639377251220
question,/ameM9v8nctyy8MRHMJfRX7/protection/protection_question,1639377251229,1639377255131
question,/ameM9v8nctyy8MRHMJfRX7/protection/environmental_dangers,1639377255141,1639377293012
question,/ameM9v8nctyy8MRHMJfRX7/assistance_mod/assist_preference,1639377293023,1639377304892
question,/ameM9v8nctyy8MRHMJfRX7/assistance_mod/cash_safe_market,1639377304903,1639377314027
question,/ameM9v8nctyy8MRHMJfRX7/assistance_mod/feedback_preference,1639377314038,1639377327674
question,/ameM9v8nctyy8MRHMJfRX7/comment_box,1639377327684,1639377333444
end screen,,1639377333455,1639377371235
form save,,1639377371414,
form exit,,1639377371414,
form finalize,,1639377371414,

