event,node,start,end
form start,,1639462100080,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1639462100082,1639462103789
question,/ameM9v8nctyy8MRHMJfRX7/consent,1639462103797,1639462105101
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1639462105112,1639462106387
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1639462106397,1639462113276
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1639462113284,1639462124506
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1639462124575,1639462128808
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1639462128819,1639462133517
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1639462133528,1639462156682
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1639462156691,1639462161343
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1639462161351,1639462178363
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1639462178371,1639462179758
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1639462179766,1639462180902
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1639462180909,1639462181351
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1639462181361,1639462185529
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1639462185538,1639462186565
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1639462186575,1639462198367
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1639462198375,1639462199410
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1639462199419,1639462204985
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1639462204993,1639462218129
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1639462218137,1639462228824
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1639462228831,1639462230179
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1639462230188,1639462244150
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1639462244158,1639462257188
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1639462257195,1639462258453
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1639462258461,1639462273604
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1639462273612,1639462274938
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1639462274947,1639462281244
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639462281251,1639462306146
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639462306155,1639462309697
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639462309710,1639462310552
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639462310560,1639462326320
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639462326327,1639462330629
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639462330640,1639462332519
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639462332529,1639462334662
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1639462334670,1639462344778
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1639462344785,1639462347258
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1639462347269,1639462350019
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1639462350025,1639462353399
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1639462353411,1639462354805
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1639462354814,1639462358360
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1639462358368,1639462369122
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_seeing,1639462369130,1639462371783
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_hearing,1639462371791,1639462378104
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_walking,1639462378113,1639462380858
