event,node,start,end
form start,,1639378157116,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1639378157117,1639378158108
question,/ameM9v8nctyy8MRHMJfRX7/consent,1639378158115,1639378160935
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1639378160941,1639378168231
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1639378168239,1639378190687
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1639378190695,1639378197165
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1639378197214,1639378202682
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1639378202696,1639378332852
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1639378332877,1639378354128
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1639378354138,1639378357841
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1639378357850,1639378397840
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1639378397847,1639378398837
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1639378398847,1639378403547
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1639378403554,1639378404880
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1639378404887,1639378440444
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1639378440452,1639378491366
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1639378491373,1639378536196
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1639378536204,1639378542187
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1639378542195,1639378559369
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1639378559377,1639378581359
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1639378581366,1639378584330
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1639378584338,1639378613709
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1639378613715,1639378616799
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1639378616809,1639378629269
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639378629277,1639378631666
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639378631673,1639378633353
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639378633360,1639378635192
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639378635200,1639378637032
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639378637040,1639378641386
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1639378641394,1639378643410
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1639378643418,1639378648642
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1639378648650,1639378651482
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1639378651498,1639378652489
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1639378652498,1639378655138
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1639378655146,1639378657568
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1639378657576,1639378659171
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1639378659179,1639378661770
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_seeing,1639378661778,1639378664014
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_hearing,1639378664024,1639378666394
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_walking,1639378666401,1639378674445
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_hearing,1639378674454,1639378675424
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_seeing,1639378675434,1639378679054
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_hearing,1639378679063,1639378681383
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_seeing,1639378681390,1639378682328
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_hearing,1639378682334,1639378688035
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_walking,1639378688042,1639378691529
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/hhh_diff_walking,1639378691539,1639378695799
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_remembering,1639378695807,1639378701792
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/hhh_diff_remembering,1639378701800,1639378711024
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_self_care,1639378711034,1639378716561
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_communicating,1639378716571,1639378719175
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/heatlh_issue,1639378719184,1639378725590
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/current_status,1639378725598,1639378732004
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displaced_province,1639378732013,1639378747027
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displaced_district,1639378747067,1639378752125
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displacement_duration,1639378752138,1639378754505
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/move_intention,1639378754516,1639378757595
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/event_affected,1639378757606,1639378779080
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/loss_family_member,1639378779089,1639378789225
question,/ameM9v8nctyy8MRHMJfRX7/assistance/assist_received,1639378789238,1639378794389
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/insuff_food,1639378794397,1639378797651
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/sold_asset,1639378797659,1639378805599
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/seek_employment,1639378805607,1639378816555
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/working,1639378816563,1639378820757
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/borrow,1639378820764,1639378855368
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/medical_attention,1639378855379,1639378857599
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/early_marry,1639378857609,1639378860619
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/hh_eat_note,1639378860628,1639378861849
