event,node,start,end
form start,,1639375914555,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1639375914556,1639375915582
question,/ameM9v8nctyy8MRHMJfRX7/consent,1639375915591,1639375917912
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1639375917923,1639375919711
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1639375919720,1639375928792
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1639375928804,1639375930251
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1639375930264,1639375932312
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1639375932335,1639375937322
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1639375937359,1639375944219
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1639375944245,1639375978281
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1639375978292,1639375986444
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1639375986454,1639376001433
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1639376001443,1639376025357
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1639376025369,1639376026583
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1639376026591,1639376065261
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1639376065270,1639376081979
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1639376081988,1639376106605
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1639376106615,1639376108760
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1639376108772,1639376120586
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1639376120598,1639376132400
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1639376132410,1639376135934
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1639376135944,1639376150436
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1639376150448,1639376154671
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1639376154680,1639376169095
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639376169105,1639376174899
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639376174910,1639376178136
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639376178148,1639376184485
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639376184495,1639376187909
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639376187919,1639376191189
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1639376191200,1639376193833
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1639376193845,1639376197580
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1639376197591,1639376200264
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1639376200276,1639376202818
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1639376202830,1639376204394
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1639376204405,1639376209048
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1639376209058,1639376212871
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_seeing,1639376212884,1639376220242
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_hearing,1639376220254,1639376221529
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_walking,1639376221540,1639376222757
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_remembering,1639376222767,1639376224006
