event,node,start,end
form start,,1639032241637,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1639032241638,1639032243382
question,/ameM9v8nctyy8MRHMJfRX7/consent,1639032243388,1639032246136
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1639032246143,1639032247674
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1639032247682,1639032253071
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1639032253077,1639032257952
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1639032258012,1639032260161
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1639032260170,1639032268858
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1639032268865,1639032295024
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1639032295030,1639032297490
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1639032297497,1639032299059
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1639032299067,1639032299895
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1639032299901,1639032300800
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1639032300806,1639032301561
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1639032301567,1639032315517
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1639032315524,1639032317483
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1639032317491,1639032340589
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1639032340595,1639032353394
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1639032353400,1639032366316
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1639032366322,1639032367981
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1639032367988,1639032377927
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1639032377933,1639032383139
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1639032383146,1639032384702
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1639032384715,1639032396492
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1639032396498,1639032398471
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1639032398479,1639032403077
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639032403084,1639032419835
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639032419842,1639032432520
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639032432528,1639032434452
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639032434459,1639032436456
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639032436463,1639032439616
